Player,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Devon Dotson,CHI,21,2-Jun,185,Kansas,USA,Undrafted,Undrafted,Undrafted,6,1,0.5,0.3,3.9,7.70%,5.60%,11.70%,42.90%,15.40%
Devin Vassell,SAS,20,5-Jun,200,Florida State,USA,2020,1,11,50,4.9,2.6,0.9,-0.5,2.30%,13.00%,13.20%,53.80%,7.60%
Devin Cannady,ORL,24,2-Jun,183,Princeton,USA,2019,,,8,4.3,0.6,0.1,-13.7,0.00%,6.50%,18.10%,54.70%,2.30%
Devin Booker,PHX,24,5-Jun,206,Kentucky,USA,2015,1,13,57,25.5,4.1,4.5,7.2,1.40%,10.80%,32.10%,58.50%,20.80%
Desmond Bane,MEM,22,5-Jun,215,TCU,USA,2020,1,30,56,9.1,3,1.7,1.5,1.70%,11.60%,15.40%,60.80%,10.50%
Derrick White,SAS,26,4-Jun,190,Colorado,USA,2017,1,29,36,15.4,3,3.5,5.1,1.20%,8.60%,22.30%,55.00%,16.80%
Derrick Rose,NYK,32,2-Jun,200,Memphis,USA,2008,1,1,41,14,2.4,4.1,3.7,1.40%,7.60%,25.30%,53.10%,28.50%
Derrick Jones Jr.,POR,24,5-Jun,210,UNLV,USA,Undrafted,Undrafted,Undrafted,53,7.1,3.8,0.8,-1.8,5.70%,9.70%,12.30%,57.10%,4.70%
Derrick Favors,UTA,29,9-Jun,265,Georgia Tech,USA,2010,1,3,57,5.4,5.5,0.7,2.3,13.00%,21.60%,12.90%,64.80%,6.50%
Denzel Valentine,CHI,27,4-Jun,220,Michigan State,USA,2016,1,14,54,6.8,3.4,1.6,0.2,2.20%,17.30%,18.70%,48.50%,13.40%
Dennis Smith Jr.,DET,23,2-Jun,205,North Carolina State,USA,2017,1,9,23,6.7,2.4,3.3,-2.2,2.90%,9.90%,19.10%,49.20%,27.60%
Dennis Schroder,LAL,27,3-Jun,172,None,Germany,2013,1,17,57,15.7,3.5,5.8,3.1,1.50%,9.30%,23.00%,54.60%,26.30%
Deni Avdija,WAS,20,9-Jun,210,None,Israel,2020,1,9,54,6.3,4.9,1.2,-2.1,1.70%,18.10%,11.80%,51.50%,6.40%
Delon Wright,SAC,29,5-Jun,185,Utah,USA,2015,1,20,52,9.6,4.1,4.2,-4.3,3.50%,12.40%,15.70%,56.20%,23.50%
Dejounte Murray,SAS,24,4-Jun,180,Washington,USA,2016,1,29,57,15.6,7.1,5.2,3.1,2.50%,19.30%,22.90%,51.00%,24.20%
Deividas Sirvydis,DET,20,8-Jun,190,None,Lithuania,2019,2,37,15,1.1,0.5,0.1,-0.8,0.00%,18.60%,21.80%,45.30%,9.50%
Deandre Ayton,PHX,22,11-Jun,250,Arizona,Bahamas,2018,1,1,61,15,10.7,1.4,6,11.70%,23.80%,18.50%,65.20%,6.60%
Dean Wade,CLE,24,9-Jun,228,Kansas State,USA,Undrafted,Undrafted,Undrafted,52,5.1,3,1.1,-4.6,2.90%,15.40%,12.60%,56.10%,9.80%
DeMarcus Cousins,LAC,30,10-Jun,270,Kentucky,USA,2010,1,5,34,9,7,2.1,-3.7,6.80%,30.20%,24.00%,51.40%,18.50%
DeMar DeRozan,SAS,31,6-Jun,220,Southern California,USA,2009,1,9,51,21.5,4.4,7.2,-1.2,2.20%,10.50%,25.20%,59.10%,31.60%
DeAndre' Bembry,TOR,26,5-Jun,210,St. Joseph's (PA),USA,2016,1,21,40,5,2.6,2,1.7,3.40%,10.60%,13.40%,58.10%,15.80%
DeAndre Jordan,BKN,32,11-Jun,265,Texas A&M,USA,2008,2,35,53,7.7,7.5,1.7,-0.7,9.40%,22.90%,12.60%,75.30%,10.00%
De'Anthony Melton,MEM,22,2-Jun,200,Southern California,USA,2018,2,46,40,10.1,3.2,2.7,9.3,3.00%,11.80%,19.50%,59.50%,17.90%
De'Andre Hunter,ATL,23,8-Jun,225,Virginia,USA,2019,1,4,20,16,5.1,2.1,4.6,2.50%,12.60%,18.80%,62.50%,10.30%
De'Aaron Fox,SAC,23,3-Jun,185,Kentucky,USA,2017,1,5,58,25.2,3.5,7.2,-4.5,1.60%,8.50%,30.40%,56.50%,32.60%
Davis Bertans,WAS,28,10-Jun,225,None,Latvia,2011,2,42,46,11.6,3.1,0.9,1.2,1.30%,10.10%,15.10%,63.20%,4.60%
David Nwaba,HOU,28,5-Jun,219,Cal Poly-Obispo,USA,Undrafted,Undrafted,Undrafted,30,9.2,3.9,1,-1.3,5.50%,10.80%,16.30%,55.70%,7.00%
Darius Miller,OKC,31,6-Jun,225,Kentucky,USA,2012,2,46,18,4.1,1.3,1.2,7.2,1.10%,10.30%,12.70%,68.50%,15.10%
Darius Garland,CLE,21,1-Jun,192,Vanderbilt,USA,2019,1,5,51,17.7,2.5,6.2,-7,1.40%,6.20%,24.40%,55.00%,29.70%
Darius Bazley,OKC,20,8-Jun,208,None,USA,2019,1,23,45,13.2,7.4,1.6,-10.7,2.20%,20.20%,20.80%,49.80%,7.70%
Dario Saric,PHX,27,10-Jun,225,None,Croatia,2014,1,12,41,9.1,4,1.3,12.4,5.60%,17.10%,22.50%,56.80%,11.00%
Danuel House Jr.,HOU,27,6-Jun,220,Texas A&M,USA,Undrafted,Undrafted,Undrafted,32,9.1,3.8,1.8,-12.6,1.90%,12.00%,15.00%,53.30%,10.30%
Dante Exum,HOU,25,5-Jun,214,None,Australia,2014,1,5,6,3.8,2.8,2.2,3.6,1.50%,12.90%,11.90%,42.80%,15.50%
Danny Green,PHI,33,6-Jun,215,North Carolina,USA,2009,2,46,59,9.6,3.7,1.7,5.4,3.10%,9.70%,13.60%,59.30%,8.10%
Danilo Gallinari,ATL,32,10-Jun,233,None,Italy,2008,1,6,42,13.5,4,1.4,5.3,1.40%,15.30%,21.60%,61.50%,9.40%
Daniel Theis,CHI,29,8-Jun,245,None,Germany,Undrafted,Undrafted,Undrafted,58,9.6,5.3,1.7,0.1,5.40%,16.20%,15.40%,61.50%,10.20%
Daniel Oturu,LAC,21,8-Jun,240,Minnesota,USA,2020,2,33,24,1.5,1.2,0.3,-1.9,10.40%,17.00%,15.80%,55.50%,11.50%
Daniel Gafford,WAS,22,10-Jun,234,Arkansas,USA,2019,2,38,43,6.4,4.1,0.5,2.8,11.30%,16.10%,15.90%,68.10%,5.50%
Damyean Dotson,CLE,26,5-Jun,210,Houston,USA,2017,2,44,36,6.6,2.1,2.1,-10.1,0.70%,10.10%,16.80%,48.80%,17.80%
Damion Lee,GSW,28,5-Jun,210,Louisville,USA,Undrafted,Undrafted,Undrafted,57,6.5,3.2,1.3,1.6,2.00%,14.20%,12.70%,63.60%,9.40%
Damian Lillard,POR,30,2-Jun,195,Weber State,USA,2012,1,6,55,28.4,4.2,7.5,1.3,1.30%,10.30%,31.00%,60.40%,33.70%
Damian Jones,SAC,25,11-Jun,245,Vanderbilt,USA,2016,1,30,28,3.1,2.4,0.3,-4.9,7.80%,14.40%,11.10%,72.70%,4.30%
Dakota Mathias,PHI,25,4-Jun,200,Purdue,USA,2018,,,8,6,0.9,1.6,-10.6,0.70%,4.10%,16.60%,47.40%,15.70%
DaQuan Jeffries,HOU,23,5-Jun,230,Tulsa,USA,Undrafted,Undrafted,Undrafted,24,3.1,1.8,0.4,2.2,3.90%,8.80%,11.30%,48.00%,3.70%
D.J. Wilson,HOU,25,10-Jun,231,Michigan,USA,2017,1,17,32,4.9,2.9,0.6,-11.5,3.70%,19.30%,20.00%,51.20%,8.70%
D.J. Augustin,HOU,33,11-May,183,Texas-Austin,USA,2008,1,9,51,7,1.6,3.3,1.1,1.80%,6.20%,15.70%,55.90%,22.20%
D'Angelo Russell,MIN,25,4-Jun,193,Ohio State,USA,2015,1,2,32,19.5,2.5,5.2,-12,1.20%,7.50%,29.30%,57.50%,31.20%
Cristiano Felicio,CHI,28,11-Jun,270,None,Brazil,Undrafted,Undrafted,Undrafted,13,1.1,1.1,0.6,2.5,9.50%,15.70%,11.00%,61.40%,22.90%
Cory Joseph,DET,29,3-Jun,200,Texas-Austin,Canada,2011,1,29,60,8,2.5,3.2,-5.5,2.40%,8.40%,15.60%,55.90%,19.70%
Collin Sexton,CLE,22,1-Jun,190,Alabama,USA,2018,1,8,50,24.5,3,4.1,-7.6,2.40%,6.30%,28.00%,58.10%,20.30%
Cole Anthony,ORL,20,2-Jun,185,North Carolina,USA,2020,1,15,36,11.8,4.5,4.4,-11.8,2.80%,13.90%,22.10%,48.00%,25.60%
Cody Zeller,CHA,28,11-Jun,240,Indiana,USA,2013,1,4,38,8.9,6.9,1.9,1.7,12.40%,20.80%,17.40%,58.50%,13.10%
Cody Martin,CHA,25,5-Jun,205,Nevada-Reno,USA,2019,2,36,48,4,2.9,1.6,0.5,5.50%,12.20%,12.20%,51.30%,14.10%
Coby White,CHI,21,5-Jun,195,North Carolina,USA,2019,1,7,58,14.8,4.1,4.6,-2.2,1.30%,11.80%,21.90%,53.70%,21.20%
Clint Capela,ATL,26,10-Jun,240,None,Switzerland,2014,1,25,54,15.5,14.7,0.8,6.5,15.50%,30.60%,19.40%,60.40%,4.20%
Chuma Okeke,ORL,22,6-Jun,229,Auburn,USA,2019,1,16,44,7.5,4,2.2,-7.6,3.40%,11.80%,14.00%,50.30%,13.10%
Christian Wood,HOU,25,10-Jun,214,UNLV,USA,Undrafted,Undrafted,Undrafted,37,21,9.5,1.5,-2.8,5.50%,22.60%,25.60%,59.70%,7.90%
Chris Silva,SAC,24,8-Jun,234,South Carolina,Gabon,Undrafted,Undrafted,Undrafted,15,2.1,1.8,0.4,-0.5,8.20%,21.70%,15.10%,70.80%,10.20%
Chris Paul,PHX,35,Jun-00,175,Wake Forest,USA,2005,1,4,60,16.1,4.7,8.7,6.4,1.30%,13.30%,21.60%,58.80%,39.00%
Chris Chiozza,BKN,25,11-May,175,Florida,USA,Undrafted,Undrafted,Undrafted,22,4,1.1,3,3,1.20%,8.80%,20.00%,46.10%,38.20%
Chris Boucher,TOR,28,9-Jun,200,Oregon,Saint Lucia,Undrafted,Undrafted,Undrafted,59,13.6,6.7,1.1,4.3,8.00%,19.10%,20.20%,63.90%,7.00%
Chimezie Metu,SAC,24,9-Jun,225,Southern California,USA,2018,2,49,28,5.1,2.5,0.6,-9,9.10%,17.20%,20.00%,59.60%,9.00%
Chasson Randle,ORL,28,2-Jun,185,Stanford,USA,2015,,,30,5.7,1.7,1.9,-16.8,0.50%,8.30%,14.60%,51.90%,15.40%
Charlie Brown Jr.,OKC,24,6-Jun,199,St. Joseph's (PA),USA,Undrafted,Undrafted,Undrafted,1,5,0,0,14.8,0.00%,0.00%,15.60%,51.20%,0.00%
Chandler Hutchison,WAS,25,6-Jun,210,Boise State,USA,2018,1,22,14,3.8,3.4,0.6,-3.3,2.10%,21.00%,16.20%,43.60%,6.10%
Cedi Osman,CLE,26,7-Jun,230,None,Turkey,2015,2,31,51,9.6,3.3,2.7,-10.4,2.40%,11.40%,19.30%,47.50%,16.00%
Cassius Winston,WAS,23,1-Jun,185,Michigan State,USA,2020,2,53,18,2.2,0.5,0.6,-18.4,0.00%,9.10%,16.70%,58.00%,21.60%
Cassius Stanley,IND,21,5-Jun,190,Duke,USA,2020,2,54,17,1.1,0.6,0,-1,7.60%,12.80%,20.60%,37.70%,0.00%
Carsen Edwards,BOS,23,11-May,200,Purdue,USA,2019,2,33,25,3.9,0.9,0.4,-7.3,1.40%,8.80%,18.50%,54.50%,7.80%
Carmelo Anthony,POR,36,7-Jun,238,Syracuse,USA,2003,1,3,59,13.5,3.2,1.5,-4.1,1.80%,10.80%,23.30%,53.30%,10.20%
Caris LeVert,IND,26,6-Jun,205,Michigan,USA,2016,1,20,36,18.7,4.5,4.8,-1.1,2.50%,11.00%,26.90%,51.70%,24.30%
Cameron Reynolds,SAS,26,7-Jun,225,Tulane,USA,Undrafted,Undrafted,Undrafted,3,0.7,0,0,-32.4,0.00%,0.00%,13.30%,50.00%,0.00%
Cameron Payne,PHX,26,1-Jun,183,Murray State,USA,2015,1,14,50,7.3,2.3,3.6,7.2,1.50%,11.80%,18.60%,57.80%,28.90%
Cameron Johnson,PHX,25,8-Jun,210,North Carolina,USA,2019,1,11,55,9.9,3.2,1.5,5.8,2.20%,11.60%,16.40%,58.60%,8.70%
Cam Reddish,ATL,21,8-Jun,218,Duke,USA,2019,1,10,26,11.2,4,1.3,-4,2.80%,10.90%,18.30%,48.80%,6.60%
Caleb Martin,CHA,25,5-Jun,205,Nevada-Reno,USA,Undrafted,Undrafted,Undrafted,45,4.9,2.8,1.2,-5.9,4.10%,13.20%,16.90%,46.10%,12.30%
CJ McCollum,POR,29,3-Jun,190,Lehigh,USA,2013,1,10,35,23.3,4.2,4.8,3.1,1.90%,10.40%,27.10%,56.60%,22.90%
CJ Elleby,POR,20,6-Jun,200,Washington State,USA,2020,2,46,21,2.4,1,0.2,0.8,4.50%,7.70%,14.90%,47.40%,3.80%
Buddy Hield,SAC,28,4-Jun,220,Oklahoma,Bahamas,2016,1,6,60,16.7,4.5,3.2,-3.4,1.10%,12.20%,20.00%,57.00%,12.30%
Bryn Forbes,MIL,27,2-Jun,205,Michigan State,USA,Undrafted,Undrafted,Undrafted,59,9.5,1.4,0.6,2.4,0.90%,6.20%,18.00%,60.80%,4.40%
Bruno Fernando,ATL,22,9-Jun,240,Maryland,Angola,2019,2,34,28,1.3,2.3,0.3,-7.6,6.40%,26.30%,12.00%,50.10%,7.90%
Bruno Caboclo,HOU,25,9-Jun,218,None,Brazil,2014,1,20,6,2.8,2.3,0.2,2.3,6.40%,26.80%,23.20%,47.50%,4.80%
Bruce Brown,BKN,24,4-Jun,202,Miami,USA,2018,2,42,57,8.8,5.2,1.6,2.2,7.90%,14.90%,15.70%,59.70%,9.90%
Brook Lopez,MIL,33,Jul-00,282,Stanford,USA,2008,1,10,59,11.6,4.9,0.7,6.3,5.00%,11.90%,15.90%,60.10%,3.30%
Brodric Thomas,CLE,24,5-Jun,185,Truman State,USA,Undrafted,Undrafted,Undrafted,21,2.9,1,0.7,5.7,2.10%,8.30%,18.10%,46.10%,11.80%
Brian Bowen II,IND,22,6-Jun,190,None,USA,Undrafted,Undrafted,Undrafted,6,0.5,0.5,0,9.4,0.00%,15.80%,9.80%,33.80%,0.00%
Brandon Ingram,NOP,23,8-Jun,190,Duke,USA,2016,1,2,56,24.2,5,4.9,1.2,1.60%,12.70%,28.10%,59.00%,22.00%
Brandon Goodwin,ATL,25,Jun-00,180,Florida Gulf Coast,USA,Undrafted,Undrafted,Undrafted,43,5,1.5,2,-0.8,1.30%,9.50%,18.90%,47.70%,24.30%
Brandon Clarke,MEM,24,8-Jun,215,Gonzaga,Canada,2019,1,21,50,10.7,5.4,1.7,1.1,5.50%,15.70%,16.80%,55.90%,9.70%
Bradley Beal,WAS,27,3-Jun,207,Florida,USA,2012,1,3,52,31.4,4.8,4.6,-1.7,3.30%,9.80%,33.50%,59.60%,21.30%
Brad Wanamaker,CHA,31,3-Jun,210,Pittsburgh,USA,Undrafted,Undrafted,Undrafted,53,5.4,1.7,2.8,-5.6,1.30%,8.30%,17.20%,48.00%,25.60%
Bol Bol,DEN,21,2-Jul,220,Oregon,Sudan,2019,2,44,27,2.4,0.7,0.3,-23.4,0.00%,14.30%,20.40%,62.10%,8.50%
Bojan Bogdanovic,UTA,32,7-Jun,226,None,Croatia,2011,2,31,61,15.6,3.8,1.9,8.3,1.70%,9.80%,21.10%,57.10%,8.90%
Bogdan Bogdanovic,ATL,28,6-Jun,220,None,Serbia,2014,1,27,37,15.2,3.7,3.2,2.5,1.60%,10.90%,21.00%,59.20%,17.00%
Bobby Portis,MIL,26,10-Jun,250,Arkansas,USA,2015,1,22,56,11.5,7,1.1,7.1,8.00%,22.50%,19.80%,60.60%,7.30%
Boban Marjanovic,DAL,32,4-Jul,290,None,Serbia,Undrafted,Undrafted,Undrafted,25,5.1,4.2,0.3,8.7,16.50%,28.40%,24.00%,54.10%,5.00%
Blake Griffin,BKN,32,9-Jun,250,Oklahoma,USA,2009,1,1,35,11,4.9,3.3,0.2,2.00%,16.70%,18.90%,52.90%,18.20%
Bismack Biyombo,CHA,28,8-Jun,255,None,DRC,2011,1,7,54,5.2,5.3,1.3,-6.8,9.50%,14.80%,11.40%,56.70%,8.90%
Ben Simmons,PHI,24,11-Jun,240,Louisiana State,Australia,2016,1,1,49,14.8,7.6,7,7.2,5.10%,17.40%,20.60%,57.90%,30.80%
Ben McLemore,LAL,28,3-Jun,195,Kansas,USA,2013,1,7,42,7.9,2,0.8,-4.3,1.80%,9.00%,19.50%,52.90%,7.00%
Bam Adebayo,MIA,23,9-Jun,255,Kentucky,USA,2017,1,14,55,19.1,9.1,5.3,0.5,7.10%,20.30%,23.80%,62.60%,26.70%
Axel Toupane,MIL,28,7-Jun,210,None,France,Undrafted,Undrafted,Undrafted,8,1.8,0.8,0.5,-2.2,0.00%,8.20%,9.20%,49.70%,9.80%
Avery Bradley,HOU,30,3-Jun,180,Texas-Austin,USA,2010,1,19,24,6.7,2.2,1.8,-9.1,1.30%,8.30%,14.80%,50.10%,11.30%
Austin Rivers,DEN,28,4-Jun,200,Duke,USA,2012,1,10,25,7.2,2.3,2,-5,1.10%,9.40%,15.50%,53.90%,14.10%
Ashton Hagans,MIN,21,3-Jun,190,Kentucky,USA,Undrafted,Undrafted,Undrafted,2,0,0,0,-21.8,0.00%,0.00%,8.30%,0.00%,0.00%
Aron Baynes,TOR,34,10-Jun,260,Washington State,Australia,Undrafted,Undrafted,Undrafted,50,5.8,5.1,0.9,-5.1,8.40%,19.30%,15.70%,48.90%,6.90%
Armoni Brooks,HOU,22,3-Jun,195,Houston,USA,2019,,,9,8.3,4,1.4,-17.4,2.10%,14.60%,16.60%,52.70%,10.20%
Anzejs Pasecniks,WAS,25,1-Jul,229,None,Latvia,2017,1,25,1,0,1,1,-104.4,14.30%,0.00%,37.50%,0.00%,33.30%
Anthony Tolliver,PHI,35,8-Jun,240,Creighton,USA,Undrafted,Undrafted,Undrafted,4,1.5,2,0.5,5.5,4.40%,7.70%,8.90%,29.10%,4.80%
Anthony Lamb,HOU,23,6-Jun,227,Vermont,USA,Undrafted,Undrafted,Undrafted,14,3.6,2.3,0.4,-9,7.20%,10.80%,15.60%,43.90%,5.60%
Anthony Gill,WAS,28,7-Jun,230,Virginia,USA,Undrafted,Undrafted,Undrafted,21,2.2,2,0.3,-13.4,9.20%,17.40%,13.40%,59.30%,6.90%
Anthony Edwards,MIN,19,4-Jun,225,Georgia,USA,2020,1,1,62,18.3,4.5,2.7,-6.9,2.30%,11.90%,26.50%,50.40%,13.40%
Anthony Davis,LAL,28,10-Jun,253,Kentucky,USA,2012,1,1,26,21.4,8,3,6.9,6.20%,19.20%,27.90%,56.90%,14.60%
Anfernee Simons,POR,21,3-Jun,181,None,USA,2018,1,24,52,7.8,2.2,1.4,-4.7,1.10%,11.70%,19.20%,58.50%,13.20%
Andrew Wiggins,GSW,26,7-Jun,197,Kansas,Canada,2014,1,1,61,18,4.8,2.3,-1.2,3.10%,11.00%,22.50%,56.30%,10.90%
Andre Roberson,BKN,29,7-Jun,210,Colorado,USA,2013,1,26,5,1.2,3,0.8,-18.4,10.30%,13.60%,11.70%,20.20%,9.80%
Andre Iguodala,MIA,37,6-Jun,215,Arizona,USA,2004,1,9,54,4.6,3.6,2.2,-3.2,3.00%,13.50%,11.10%,51.90%,15.10%
Andre Drummond,LAL,27,10-Jun,279,Connecticut,USA,2012,1,9,35,15.7,12.6,2.3,-5.3,12.90%,35.10%,28.20%,50.80%,13.70%
Amir Coffey,LAC,23,7-Jun,210,Minnesota,USA,Undrafted,Undrafted,Undrafted,43,3.3,1,0.5,-1.6,2.30%,8.10%,14.60%,58.50%,9.00%
Amida Brimah,IND,27,10-Jun,230,Connecticut,USA,Undrafted,Undrafted,Undrafted,1,0,0,0,-10.3,0.00%,0.00%,6.70%,0.00%,0.00%
Alize Johnson,BKN,25,7-Jun,212,Missouri State,USA,2018,2,50,12,5.3,4.6,0.8,-4.3,12.30%,27.00%,18.10%,63.60%,10.70%
Alfonzo McKinnie,LAL,28,7-Jun,215,Wisconsin-Green Bay,USA,Undrafted,Undrafted,Undrafted,34,3,1.4,0.2,0.4,6.90%,11.80%,15.80%,61.20%,4.40%
Alex Len,WAS,27,Jul-00,250,Maryland,Ukraine,2013,1,5,53,6.7,3.9,0.8,-5,7.00%,17.00%,16.30%,66.10%,7.50%
Alex Caruso,LAL,27,4-Jun,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,51,5.9,2.9,2.5,6.6,2.40%,11.40%,13.50%,55.40%,17.40%
Alen Smailagic,GSW,20,10-Jun,215,None,Serbia,2019,2,39,9,1.7,0.8,0.2,-27,5.60%,11.10%,15.20%,50.80%,13.30%
Aleksej Pokusevski,OKC,19,Jul-00,190,None,Serbia,2020,1,17,38,7.5,4.6,2.1,-18.6,2.50%,15.50%,19.20%,41.70%,13.30%
Alec Burks,NYK,29,6-Jun,214,Colorado,USA,2011,1,12,44,12.6,4.5,2.2,5.9,1.60%,15.10%,20.40%,56.10%,13.30%
Al-Farouq Aminu,CHI,30,8-Jun,220,Wake Forest,USA,2010,1,8,20,4.8,5,1.5,-7.6,5.10%,20.20%,14.30%,47.30%,10.90%
Al Horford,OKC,34,9-Jun,240,Florida,Dominican Rep...,2007,1,3,28,14.2,6.7,3.4,-6.9,3.40%,19.50%,22.10%,53.80%,20.60%
Adam Mokoka,CHI,22,4-Jun,190,None,France,Undrafted,Undrafted,Undrafted,11,1.4,0.5,0.5,-11.5,1.90%,8.50%,15.90%,43.00%,19.20%
Abdel Nader,PHX,27,5-Jun,225,Iowa State,Egypt,2016,2,58,24,6.7,2.6,0.8,5,2.00%,15.10%,18.30%,60.50%,7.80%
Aaron Nesmith,BOS,21,5-Jun,215,Vanderbilt,USA,2020,1,14,35,3.4,2.2,0.4,1.7,3.50%,13.50%,12.60%,51.80%,4.00%
Aaron Holiday,IND,24,Jun-00,185,UCLA,USA,2018,1,23,58,7,1.2,1.6,-0.8,1.00%,5.90%,19.20%,49.90%,12.50%
Aaron Gordon,DEN,25,8-Jun,235,Arizona,USA,2014,1,4,41,13.2,5.9,3.5,2.4,5.30%,15.80%,21.30%,55.70%,17.90%
