#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
5,Aaron Gordon,DEN,15,26.5,4.3,8.3,0.52,0.9,2.9,0.295,1.4,1.9,0.75,1.3,1.4,1.3,3.5,4.8,2.5,0.8,0.6,10.9
6,Monte Morris,DEN,44,26.1,4,8.3,0.477,1.1,3,0.377,1.3,1.6,0.789,0.7,1,0.2,1.9,2.2,3.2,0.7,0.3,10.3
7,Gary Harris,DEN,19,30.6,3.6,8.2,0.442,1.3,3.9,0.32,1.2,1.6,0.733,0.7,1.9,0.7,1.8,2.5,1.7,0.9,0.2,9.7
8,Paul Millsap,DEN,47,21.2,3.3,6.9,0.486,0.9,2.6,0.358,1.3,1.8,0.706,0.9,2,1.4,3.4,4.8,1.7,0.8,0.7,8.9
9,JaMychal Green,DEN,47,18.7,3,6.4,0.472,1.4,3.4,0.411,0.8,1,0.844,0.9,2.5,1.5,3.4,4.9,0.8,0.5,0.4,8.2
10,P.J. Dozier,DEN,45,21,2.9,6.7,0.426,0.9,2.8,0.333,0.9,1.4,0.639,0.9,1.8,0.8,3,3.8,1.8,0.7,0.4,7.5
11,Austin Rivers,DEN,3,21.8,2.3,5.3,0.438,1,3.3,0.3,1,1.3,0.75,0.3,1.7,0.3,2.7,3,1.7,0,0.3,6.7
12,Facundo Campazzo,DEN,54,19.9,1.6,4.3,0.375,1.1,3.1,0.37,0.9,1.1,0.845,1,2.1,0.3,1.4,1.6,3.1,1,0.2,5.3
13,JaVale McGee,DEN,5,11,2,3.6,0.556,0,0.2,0,0.4,0.8,0.5,1.6,3,1.4,3,4.4,0.2,0.4,0.6,4.4
14,Isaiah Hartenstein,DEN,30,9.1,1.4,2.7,0.512,0,0,0,0.7,1.2,0.611,0.7,2,1.3,1.5,2.8,0.5,0.4,0.7,3.5
15,Zeke Nnaji,DEN,38,9.4,1.2,2.4,0.484,0.5,1.4,0.385,0.3,0.4,0.8,0.2,0.7,0.3,1.2,1.5,0.2,0.2,0.1,3.2
16,Shaquille Harrison,DEN,5,13.4,1.4,2.6,0.538,0,0.2,0,0.2,0.2,1,0.4,1.2,0.2,0.6,0.8,0.4,1.2,0,3
17,R.J. Hampton,DEN,25,9.3,1,2.4,0.417,0.2,0.7,0.278,0.4,0.5,0.75,0.4,0.9,0.4,1.6,2,0.6,0.2,0.1,2.6
18,Bol Bol,DEN,26,4.8,0.9,1.7,0.511,0.3,0.8,0.45,0.3,0.5,0.583,0.5,0.5,0,0.7,0.7,0.3,0.1,0.4,2.4
19,Vlatko Cancar,DEN,33,5.5,0.5,1.3,0.405,0.2,0.7,0.227,0.2,0.2,0.875,0.4,0.4,0.2,0.9,1.1,0.3,0.3,0.1,1.4
20,Markus Howard,DEN,29,3.3,0.4,1.7,0.26,0.2,1.2,0.171,0,0.1,0.5,0.2,0.5,0,0.4,0.4,0.3,0.1,0,1.1
21,Gary Clark,DEN,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
22,Greg Whittington,DEN,4,3,0,0.8,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Jerami Grant,DET,52,34.2,7.5,17.4,0.429,2.2,6.2,0.354,5.4,6.3,0.852,2,2.4,0.7,4,4.7,2.9,0.7,1.1,22.6
2,Derrick Rose,DET,15,22.8,5.3,12.3,0.429,0.9,2.6,0.333,2.8,3.3,0.84,1.9,1.1,0.4,1.5,1.9,4.2,1.2,0.3,14.2
3,Josh Jackson,DET,56,25,4.9,11.6,0.427,1.2,4.1,0.304,2.5,3.4,0.731,2.2,2.9,0.9,3.1,4,2.2,0.9,0.7,13.7
4,Blake Griffin,DET,20,31.3,4,11.1,0.365,1.9,6.2,0.315,2.2,3.1,0.71,1.6,2.1,0.3,4.8,5.2,3.9,0.7,0.1,12.2
5,Cory Joseph,DET,15,26.3,4.5,8.9,0.504,0.7,1.9,0.393,2.1,2.4,0.861,1.8,2.1,0.5,2.7,3.2,5.5,1.2,0.4,11.7
6,Saddiq Bey,DET,59,25.9,3.7,9.1,0.403,2.3,6.2,0.375,1.7,1.9,0.868,0.8,1.6,0.6,3.6,4.2,1.2,0.7,0.1,11.3
7,Delon Wright,DET,36,29.2,3.8,8.1,0.464,0.9,2.5,0.348,2,2.5,0.789,1.3,1.2,1,3.5,4.6,5,1.6,0.5,10.4
8,Mason Plumlee,DET,54,26.9,4.1,6.8,0.609,0,0.1,0,2.1,3.1,0.673,1.9,3.4,2.6,6.8,9.4,3.6,0.8,0.9,10.4
9,Wayne Ellington,DET,43,21.9,3.3,7.3,0.449,2.5,5.9,0.427,0.7,0.8,0.8,0.7,1.4,0.3,1.6,1.9,1.4,0.4,0.2,9.7
10,Frank Jackson,DET,32,16.5,2.9,6.3,0.458,1.4,3.5,0.405,1.3,1.6,0.788,0.8,1.2,0.4,1.6,2,0.7,0.2,0,8.4
11,Hamidou Diallo,DET,14,20.3,2.9,7,0.418,0.6,1.4,0.421,1.8,2.6,0.694,1.2,2.4,1.1,3.4,4.5,1.1,0.4,0.6,8.2
12,Isaiah Stewart II,DET,59,20.3,3.2,5.5,0.579,0.2,0.5,0.419,0.8,1.3,0.676,1,2.6,2.4,4.1,6.6,0.9,0.5,1.1,7.4
13,Dennis Smith,DET,20,19.6,2.8,6.8,0.415,0.9,2.7,0.352,0.7,1,0.7,1.2,1.6,0.6,2,2.6,3.7,1,0.7,7.2
14,Svi Mykhailiuk,DET,36,17.6,2.3,6.2,0.377,1.6,4.8,0.333,0.7,0.8,0.8,1.1,0.9,0.3,1.8,2.1,1.6,0.8,0.2,6.9
15,Killian Hayes,DET,16,22.8,2.4,7.1,0.345,0.6,2.3,0.243,0.5,0.6,0.889,2.8,1.9,0.2,1.9,2.1,4.4,0.9,0.4,5.9
16,Rodney McGruder,DET,16,12.1,2.3,4.4,0.529,0.7,1.5,0.458,0.4,0.5,0.75,0.4,0.8,0.5,0.9,1.4,1,0.5,0.1,5.7
17,Saben Lee,DET,37,15.5,1.9,4.1,0.464,0.2,0.4,0.438,1.4,2,0.676,1.1,1.6,0.4,1.7,2.1,3.4,0.7,0.3,5.4
18,Jahlil Okafor,DET,19,11,1.9,3.3,0.597,0.1,0.3,0.333,0.4,0.5,0.8,0.5,1.2,0.7,1.4,2.1,0.6,0.2,0.2,4.4
19,Tyler Cook,DET,17,13.8,1.9,3.1,0.615,0,0,0,0.5,1.1,0.474,0.8,1.2,0.9,2.2,3.1,0.5,0.3,0,4.3
20,Sekou Doumbouya,DET,47,13.3,1.4,4.2,0.347,0.5,1.9,0.25,0.7,0.9,0.738,0.7,1.6,0.5,1.6,2.1,0.7,0.4,0.1,4
21,Deividas Sirvydis,DET,14,2.7,0.4,1.2,0.294,0.3,0.9,0.308,0.2,0.3,0.75,0.2,0.2,0,0.6,0.6,0.1,0.1,0,1.2
1,Stephen Curry,GSW,53,34.1,10.2,20.9,0.489,5.2,12.1,0.427,5.6,6.1,0.917,3.4,1.8,0.5,5.2,5.6,5.8,1.2,0.1,31.3
2,Andrew Wiggins,GSW,61,33,6.8,14.5,0.471,2,5.1,0.382,2.4,3.4,0.697,1.8,2.2,1,3.8,4.8,2.3,1,1,18
3,"Kelly Oubre, Jr.",GSW,54,30.8,5.9,13.2,0.443,1.6,5.1,0.317,2.2,3.1,0.704,1.3,2.2,1.5,4.5,6,1.4,1,0.8,15.5
4,James Wiseman,GSW,39,21.4,4.9,9.4,0.519,0.3,1,0.316,1.4,2.2,0.628,1.5,3.1,1.4,4.4,5.8,0.7,0.3,0.9,11.5
5,Jordan Poole,GSW,40,18.4,3.7,8.8,0.426,1.8,5,0.352,1.7,1.9,0.885,0.9,1.7,0.2,1.4,1.6,1.9,0.6,0.2,10.9
6,Eric Paschall,GSW,39,17.3,3.7,7.5,0.491,0.4,1.4,0.321,1.6,2.3,0.719,1.1,1.7,0.7,2.5,3.2,1.3,0.3,0.2,9.5
7,Kent Bazemore,GSW,57,18.1,2.4,5.4,0.448,1.1,2.5,0.417,0.8,1.1,0.692,1.2,2.2,0.4,2.6,3.1,1.6,1,0.5,6.7
8,Draymond Green,GSW,53,30.9,2.5,6,0.422,0.5,2.1,0.248,1,1.3,0.779,3,3.1,0.9,5.9,6.8,8.8,1.6,0.8,6.6
9,Damion Lee,GSW,57,18.9,2.2,4.8,0.467,1.4,3.4,0.397,0.7,0.8,0.909,0.5,1.6,0.4,2.8,3.2,1.3,0.7,0.1,6.5
10,Marquese Chriss,GSW,2,13.4,2.5,7,0.357,0.5,2.5,0.2,1,2,0.5,1,1.5,1.5,5,6.5,1,0,1,6.5
11,Juan Toscano-Anderson,GSW,42,18.6,2.1,3.6,0.586,0.6,1.5,0.419,0.4,0.5,0.739,1,2,0.6,3.4,4,2.4,0.6,0.4,5.3
12,Brad Wanamaker,GSW,39,16,1.6,4.4,0.353,0.3,1.6,0.213,1.3,1.4,0.893,0.9,1.4,0.2,1.5,1.7,2.5,0.7,0.2,4.7
13,Nico Mannion,GSW,24,12.3,1.3,4,0.337,0.8,2.1,0.36,0.8,1,0.8,1,1,0.1,1.3,1.4,2.2,0.6,0,4.2
14,Mychal Mulder,GSW,49,10.4,1.4,3.2,0.424,1,2.7,0.371,0.2,0.4,0.579,0.2,0.7,0,0.7,0.8,0.4,0.2,0.2,4
15,Kevon Looney,GSW,50,17.5,1.7,3.1,0.535,0.1,0.3,0.25,0.5,0.7,0.706,0.6,2.1,1.9,2.9,4.8,1.9,0.4,0.4,3.9
16,Gary Payton II,GSW,9,2.9,0.9,1.2,0.727,0.2,0.4,0.5,0.3,0.4,0.75,0.1,0.7,0.2,0.7,0.9,0,0.6,0.1,2.3
17,Alen Smailagic,GSW,9,4.3,0.7,1.4,0.462,0.2,0.6,0.4,0.1,0.4,0.25,0,0.7,0.3,0.4,0.8,0.2,0.1,0.3,1.7
1,James Harden,HOU,8,36.3,7.5,16.9,0.444,3.1,9,0.347,6.6,7.5,0.883,4.2,1.8,0.6,4.5,5.1,10.4,0.9,0.8,24.8
2,Victor Oladipo,HOU,20,33.5,7.8,19.1,0.407,2.5,7.7,0.32,3.2,4.2,0.783,2.5,2.2,0.4,4.3,4.8,5,1.2,0.5,21.2
3,Christian Wood,HOU,37,32,8.1,15.5,0.523,1.8,4.8,0.376,2.9,4.6,0.634,1.9,2.1,1.8,7.7,9.5,1.5,0.9,1.2,21
4,John Wall,HOU,40,32.2,7.3,18.1,0.404,2,6.2,0.317,4,5.3,0.749,3.5,1.1,0.4,2.8,3.2,6.9,1.1,0.8,20.6
5,Kelly Olynyk,HOU,17,30.9,6.5,11.1,0.582,1.9,4.8,0.402,3.1,3.5,0.881,2.4,2.6,1.4,6.6,7.9,2.9,1.1,0.5,17.9
6,Eric Gordon,HOU,27,29.2,5.9,13.6,0.433,2.6,7.8,0.329,3.5,4.2,0.825,1.9,1.6,0.3,1.9,2.1,2.6,0.5,0.5,17.8
7,"Kevin Porter, Jr.",HOU,21,31.6,5.7,13.6,0.421,1.7,5.8,0.289,2.4,3.2,0.746,3.4,2.3,0.7,3.1,3.8,6.2,0.8,0.3,15.5
8,Jae'sean Tate,HOU,61,29,4.4,8.6,0.514,0.8,2.7,0.291,1.4,1.9,0.718,1.2,3.1,2,3.4,5.3,2.3,1.3,0.6,11
9,DeMarcus Cousins,HOU,25,20.2,3.2,8.4,0.376,1.6,4.6,0.336,1.8,2.4,0.746,1.6,3,1.2,6.4,7.6,2.4,0.8,0.7,9.6
10,D.J. Augustin,HOU,14,19.2,2.8,6.7,0.415,1.3,3.6,0.36,2.4,2.4,0.971,1.5,1.3,0.5,1.8,2.3,4,0.4,0,9.2
11,David Nwaba,HOU,30,22.6,3.5,7.3,0.486,0.6,2.1,0.27,1.6,2.3,0.691,0.6,2,1.3,2.6,3.9,1,1,0.7,9.2
12,Danuel House,HOU,32,27,3.2,7.8,0.407,1.6,4.4,0.359,1.2,1.8,0.661,0.9,1.9,0.6,3.2,3.8,1.8,0.6,0.4,9.1
13,Armoni Brooks,HOU,9,23.5,2.9,7.7,0.377,2.3,6.7,0.35,0.2,0.6,0.4,1.2,1.4,0.6,3.4,4,1.4,0.4,0.1,8.3
14,Sterling Brown,HOU,51,24.1,2.9,6.6,0.448,1.8,4.2,0.423,0.5,0.6,0.806,0.8,1.9,0.7,3.6,4.4,1.4,0.7,0.2,8.2
15,Ben McLemore,HOU,32,16.8,2.5,7,0.357,1.7,5.2,0.331,0.7,1,0.719,0.9,1.6,0.3,1.7,2.1,0.9,0.6,0.1,7.4
16,K.J. Martin,HOU,34,20.4,2.7,5.3,0.508,0.4,1.2,0.333,1.2,1.6,0.714,0.6,1.7,1.6,3,4.6,0.6,0.6,0.9,6.9
17,Mason Jones,HOU,26,11.8,1.8,4.4,0.412,0.9,2.5,0.359,1.3,2.2,0.614,1.1,0.8,0.2,1.8,2,1.5,0.2,0,5.8
18,D.J. Wilson,HOU,20,13.2,2.1,5,0.426,0.8,2.4,0.333,0.6,0.9,0.632,0.8,1.3,0.6,2.8,3.4,0.8,0.5,0.6,5.7
19,Avery Bradley,HOU,14,22.8,2,6.3,0.318,1.1,3.8,0.283,0.4,0.4,0.833,0.9,1.7,0.4,2.1,2.5,2,0.7,0.1,5.4
20,Justin Patton,HOU,13,19,2.2,5.4,0.414,0.7,2.6,0.265,0.2,0.3,0.75,0.3,2.6,1.1,2.7,3.8,1.1,0.9,1.1,5.4
21,P.J. Tucker,HOU,32,30,1.5,4.1,0.366,0.8,2.7,0.314,0.6,0.7,0.783,1,2.8,1,3.6,4.6,1.4,0.9,0.6,4.4
22,Anthony Lamb,HOU,14,11.9,1.3,3.9,0.327,0.6,2.4,0.273,0.4,0.5,0.857,0.4,1.3,1.1,1.2,2.3,0.4,0.1,0.1,3.6
23,Bruno Caboclo,HOU,6,6.1,1.3,2.8,0.471,0,0.8,0,0.2,0.3,0.5,0.7,1,0.5,1.8,2.3,0.2,0,0.3,2.8
24,Brodric Thomas,HOU,4,6,0.5,1.8,0.286,0.2,1.5,0.167,1.2,1.8,0.714,1,1.2,0.2,0.8,1,1,0.2,0.2,2.5
25,DaQuan Jeffries,HOU,6,13.4,0.8,3,0.278,0.3,1.8,0.182,0,0,0,0,0.8,0.7,1.5,2.2,0.5,0.2,0.5,2
26,Raymond Spalding,HOU,2,9.4,1,2,0.5,0,0.5,0,0,1,0,1.5,1.5,1,1,2,0,0,1,2
27,Rodions Kurucs,HOU,11,6.8,0.5,1.9,0.238,0.2,1.4,0.133,0.1,0.2,0.5,0.8,0.6,0.2,0.8,1,0.4,0.5,0.4,1.2
1,Malcolm Brogdon,IND,54,35,8.1,17.8,0.457,2.7,6.7,0.396,2.7,3.1,0.863,2.1,2,1.1,4.2,5.3,6,0.9,0.3,21.6
2,Victor Oladipo,IND,9,33.3,7.1,16.9,0.421,2.8,7.7,0.362,3,4.1,0.73,2,2.6,0.1,5.6,5.7,4.2,1.7,0.2,20
3,Domantas Sabonis,IND,53,35.7,7.5,14.4,0.52,0.8,2.6,0.302,4.1,5.6,0.731,3.4,3.4,2.5,9.1,11.6,6,1.1,0.5,19.9
4,Caris LeVert,IND,24,32.4,7.1,16.5,0.433,1.5,5.6,0.276,3,3.8,0.783,1.8,2.3,0.8,3.8,4.6,4.1,1.7,0.5,18.8
5,T.J. Warren,IND,4,29.3,6.8,12.8,0.529,0,1.8,0,2,2.5,0.8,1,4,0.5,3,3.5,1.2,0.5,0,15.5
6,Doug McDermott,IND,54,24.2,5.1,9.8,0.524,1.6,4.2,0.38,1.2,1.4,0.831,0.8,1.7,1,2.6,3.6,1.3,0.3,0.1,13.1
7,Myles Turner,IND,47,31,4.4,9.2,0.477,1.5,4.4,0.335,2.4,3,0.782,1.4,3.5,1.3,5.2,6.5,1,0.9,3.4,12.6
8,Justin Holiday,IND,60,30.8,3.6,8.9,0.404,2.4,6.5,0.375,0.9,1.1,0.783,0.8,1.9,0.5,3.2,3.7,1.6,1.2,0.5,10.5
9,Jeremy Lamb,IND,36,21.3,3.3,7.7,0.435,1.4,3.6,0.406,2,2.1,0.947,0.6,2,0.7,2.9,3.6,1.5,0.9,0.6,10.1
10,OShae Brissett,IND,9,17.8,2.8,5.2,0.532,1.1,2.7,0.417,1.8,2.3,0.762,0.2,1,1.3,3,4.3,0.6,0.4,0.6,8.4
11,T.J. McConnell,IND,57,25.7,3.7,6.7,0.561,0.2,0.6,0.333,0.4,0.7,0.658,1.9,1.6,0.7,2.9,3.6,6.6,1.8,0.4,8.1
12,Edmond Sumner,IND,47,15.9,2.7,5.2,0.527,0.7,1.7,0.388,1.2,1.5,0.803,0.9,1.6,0.4,1.4,1.8,0.9,0.6,0.2,7.3
13,Aaron Holiday,IND,58,16.9,2.5,6.5,0.387,1,2.8,0.373,0.9,1.1,0.803,0.9,1.5,0.2,1,1.2,1.6,0.6,0.2,7
14,Goga Bitadze,IND,37,11.3,1.9,4.1,0.458,0.4,1.5,0.268,0.9,1.2,0.756,0.4,1.9,1.3,1.9,3.2,0.7,0.2,1.2,5.1
15,JaKarr Sampson,IND,23,9.5,1.4,3.2,0.446,0.1,0.5,0.25,0.7,1.1,0.6,0.4,1.7,0.8,1.7,2.4,0.1,0.1,0.4,3.7
16,Kelan Martin,IND,23,5.5,0.8,2.1,0.388,0.3,0.9,0.286,0.2,0.2,1,0.3,0.5,0.4,0.9,1.3,0.3,0.2,0.1,2.1
17,Jalen Lecque,IND,4,3,0.2,2.2,0.111,0,0.2,0,0.8,0.8,1,0,0,0.5,0.8,1.2,0.5,0,0,1.2
18,Cassius Stanley,IND,17,2.7,0.4,1.4,0.304,0.1,0.4,0.167,0.2,0.3,0.8,0.1,0.5,0.3,0.4,0.6,0,0,0.1,1.1
19,Brian Bowen II,IND,6,2.5,0.2,0.7,0.25,0,0.2,0,0.2,0.2,1,0,0.2,0,0.5,0.5,0,0,0,0.5
20,Amida Brimah,IND,1,5.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,Kawhi Leonard,LAC,46,34.4,9.4,18.2,0.516,2,5,0.393,5,5.7,0.878,2,1.7,1.1,5.5,6.7,5.1,1.7,0.4,25.7
2,Paul George,LAC,46,33.6,8.5,17.8,0.479,3.3,7.6,0.429,3.7,4.2,0.891,3.3,2.4,0.9,5.6,6.5,5.4,1.2,0.5,24
3,Marcus Morris,LAC,48,26.3,4.9,10.4,0.471,2.5,5.3,0.478,1.2,1.5,0.803,0.9,2.1,0.6,3.5,4.1,1,0.6,0.2,13.6
4,Lou Williams,LAC,42,21.9,4.3,10.2,0.421,1.1,2.8,0.378,2.5,2.8,0.866,1.6,1,0.4,1.7,2.1,3.4,0.9,0.1,12.1
5,Serge Ibaka,LAC,39,23.6,4.5,8.9,0.507,1,2.8,0.352,0.9,1.2,0.822,1.1,1.9,1.7,4.9,6.7,1.7,0.2,1.2,10.9
6,Reggie Jackson,LAC,58,22.8,3.9,8.6,0.452,1.7,3.9,0.441,1.1,1.3,0.805,1.1,2,0.4,2.5,2.9,3.2,0.6,0.1,10.5
7,Ivica Zubac,LAC,62,22.4,3.6,5.6,0.644,0,0,0,2,2.5,0.786,1.1,2.6,2.7,4.6,7.3,1.2,0.4,0.9,9.2
8,Luke Kennard,LAC,56,19.9,3.2,6.6,0.477,1.6,3.6,0.46,0.4,0.5,0.828,0.8,1.5,0.2,2.5,2.7,1.7,0.4,0.2,8.4
9,Nicolas Batum,LAC,58,28.4,2.9,6.4,0.458,1.7,4.2,0.406,0.8,0.9,0.846,0.9,1.6,0.8,4.1,4.9,2.4,1.1,0.6,8.3
10,Patrick Beverley,LAC,31,23.4,2.6,6.1,0.432,1.7,4,0.416,1.1,1.3,0.805,0.9,3.1,0.9,2.7,3.6,2.1,0.8,0.8,8
11,Yogi Ferrell,LAC,1,20.1,2,6,0.333,1,3,0.333,3,3,1,0,1,0,0,0,7,1,0,8
12,Rajon Rondo,LAC,9,18.5,2.4,5.3,0.458,0.8,2.1,0.368,1,1,1,1.7,1.9,0.8,1.7,2.4,5.2,0.8,0.1,6.7
13,Terance Mann,LAC,59,19.1,2.5,5.2,0.481,0.6,1.4,0.412,1,1.3,0.803,0.6,2,0.9,2.8,3.7,1.7,0.4,0.2,6.6
14,DeMarcus Cousins,LAC,8,11.5,2.5,5.1,0.488,0.5,1,0.5,0.8,1.6,0.462,2,1.8,1.5,3,4.5,1.2,0.4,0.1,6.2
15,Patrick Patterson,LAC,33,14.3,1.8,4,0.451,1.1,2.8,0.385,0.4,0.5,0.75,0.3,1.3,0.5,1.5,1.9,0.7,0.4,0.2,5.1
16,Amir Coffey,LAC,42,8.8,1,2.2,0.436,0.5,1.2,0.412,0.6,0.9,0.694,0.3,0.6,0.2,0.8,1,0.5,0.2,0,3
17,Daniel Oturu,LAC,23,4.1,0.6,1.1,0.538,0,0,0,0.2,0.3,0.625,0.2,0.6,0.4,0.7,1,0.3,0,0.1,1.4
18,Mfiondu Kabengele,LAC,23,4.1,0.4,1.4,0.281,0.2,0.8,0.222,0.2,0.3,0.833,0.3,0.8,0,0.6,0.6,0.2,0.1,0.1,1.2
19,Malik Fitts,LAC,3,3.6,0.3,1,0.333,0.3,0.7,0.5,0,0,0,0,1,0,1,1,0,0,0,1
1,LeBron James,LAL,41,33.9,9.5,18.4,0.513,2.4,6.5,0.368,4.1,5.8,0.703,3.7,1.6,0.6,7.3,7.9,7.9,1,0.6,25.4
2,Anthony Davis,LAL,25,32,8.4,16.5,0.512,0.7,2.6,0.262,4,5.6,0.714,1.9,1.7,2,6,8,3,1.3,1.7,21.6
3,Dennis Schroder,LAL,56,32,5.4,12.4,0.438,1.2,3.4,0.344,3.5,4.2,0.843,2.7,2.6,0.5,3,3.5,5.7,1.2,0.2,15.6
4,Montrezl Harrell,LAL,59,24,5.7,9.1,0.62,0,0.2,0,2.6,3.7,0.713,1.1,1.9,2.4,4.2,6.6,1.1,0.7,0.7,13.9
5,Kyle Kuzma,LAL,57,28.5,4.9,11.4,0.436,2,5.7,0.351,0.9,1.4,0.675,1.8,1.8,1.7,4.6,6.4,1.7,0.5,0.6,12.8
6,Andre Drummond,LAL,9,25.8,4.3,9.1,0.476,0,0,0,2.6,3.7,0.697,2.7,3.9,2.7,7.7,10.3,1.9,1.7,0.8,11.2
7,Kentavious Caldwell-Pope,LAL,55,27.4,3.3,7.6,0.433,1.8,4.3,0.424,1.3,1.5,0.857,1,1.6,0.4,2.2,2.7,1.6,0.8,0.3,9.7
8,Ben McLemore,LAL,9,17.9,3,6.8,0.443,2,5.2,0.383,1.4,1.8,0.812,0.7,2.6,0.4,1.3,1.8,0.4,0.1,0.3,9.4
9,Talen Horton-Tucker,LAL,55,19.7,3.4,7.6,0.446,0.6,2.1,0.267,1.5,1.8,0.812,1.5,2,0.4,2.3,2.7,2.5,0.9,0.4,8.8
10,Markieff Morris,LAL,52,20.6,2.7,6.4,0.425,1.2,3.7,0.325,0.6,0.8,0.744,0.9,1.8,0.8,3.8,4.6,1.2,0.3,0.3,7.3
11,Alex Caruso,LAL,50,20.5,2.1,4.8,0.429,0.9,2.3,0.404,0.8,1.2,0.672,1.2,1.8,0.5,2.4,2.9,2.5,1.2,0.3,5.9
12,Damian Jones,LAL,8,14,2,2.1,0.941,0,0,0,1.4,1.5,0.917,0.6,2.8,1,2.2,3.2,0.1,0.1,0.9,5.4
13,Marc Gasol,LAL,45,19.5,1.8,4,0.444,1,2.5,0.387,0.8,1,0.739,1.2,2.2,0.8,3.3,4.1,2.1,0.5,1.2,5.3
14,Wesley Matthews,LAL,50,19.3,1.4,4.2,0.335,1.1,3.4,0.321,0.6,0.7,0.857,0.4,1.4,0.3,1.3,1.5,0.9,0.6,0.3,4.5
15,Alfonzo McKinnie,LAL,34,6.5,1.1,2.2,0.52,0.4,0.9,0.438,0.3,0.5,0.529,0.1,0.6,0.5,0.9,1.4,0.2,0.1,0,3
16,Devontae Cacok,LAL,17,5.2,1,1.6,0.63,0,0,0,0.2,0.5,0.444,0.3,0.5,0.6,1.2,1.8,0.1,0.3,0.2,2.2
17,Quinn Cook,LAL,16,3.9,0.8,1.6,0.462,0.3,0.8,0.385,0.2,0.3,0.8,0.2,0.1,0,0.3,0.3,0.3,0.1,0.1,2.1
18,Kostas Antetokounmpo,LAL,14,3.8,0.2,0.7,0.3,0,0,0,0.4,0.9,0.462,0.7,0.5,0.3,1.1,1.4,0.1,0.1,0.3,0.9
19,Jared Dudley,LAL,11,6.9,0.2,0.6,0.286,0.2,0.5,0.4,0,0,0,0.2,0.6,0.4,1.4,1.7,0.5,0.1,0.1,0.5
1,Ja Morant,MEM,51,32.2,7,15.3,0.456,1.1,3.6,0.301,4.5,6.1,0.733,3.1,1.4,0.9,2.9,3.8,7.3,0.9,0.2,19.5
2,"Jaren Jackson, Jr.",MEM,2,21.4,7,12.5,0.56,0.5,3,0.167,4.5,5,0.9,0.5,4.5,2,3.5,5.5,1,0.5,2.5,19
3,Jonas Valanciunas,MEM,51,28.1,7.1,12.2,0.579,0.4,1,0.365,2.5,3.3,0.774,1.6,2.8,4.1,8.4,12.5,1.8,0.5,0.7,17.1
4,Dillon Brooks,MEM,55,29.5,6.3,15.2,0.417,1.9,5.5,0.347,2.2,2.7,0.836,1.8,3.5,0.8,2.2,3,2.3,1.2,0.4,16.8
5,Kyle Anderson,MEM,57,27.4,4.5,9.6,0.464,1.3,3.8,0.349,2,2.6,0.782,1.2,1.8,0.8,5.2,6,3.6,1.2,0.8,12.3
6,Grayson Allen,MEM,46,25.6,3.6,8.6,0.423,2.3,5.7,0.398,1.6,1.9,0.862,1,1.5,0.4,2.9,3.3,2.2,1,0.2,11.2
7,Brandon Clarke,MEM,49,25.1,4.6,8.8,0.521,0.4,1.3,0.297,1.3,1.9,0.674,0.6,1.5,1.5,4,5.4,1.7,1,0.8,10.8
8,De'Anthony Melton,MEM,39,20.4,3.8,8,0.473,1.9,4.2,0.457,0.8,1.1,0.78,1.2,1.7,0.7,2.5,3.2,2.7,1.3,0.5,10.3
9,Desmond Bane,MEM,55,22.1,3.4,7.2,0.475,1.7,3.8,0.459,0.6,0.8,0.833,0.9,1.9,0.4,2.7,3,1.7,0.6,0.2,9.2
10,Gorgui Dieng,MEM,22,16.9,2.5,4.9,0.519,1,2.2,0.479,1.7,2,0.884,1,1.7,1.3,3.2,4.5,1.3,0.8,0.6,7.9
