#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
11,Tyus Jones,MEM,57,18.7,2.8,6.4,0.437,0.7,2.2,0.315,0.6,0.6,0.917,0.7,0.5,0.4,1.8,2.1,4,1,0.1,6.9
12,"Xavier Tillman, Sr.",MEM,49,19.1,2.9,5.3,0.552,0.4,1.1,0.321,0.6,1,0.66,0.7,2.2,1.3,3.1,4.4,1.3,0.8,0.6,6.8
13,Justise Winslow,MEM,20,20.1,3,8.5,0.347,0.3,2.1,0.14,0.5,0.9,0.556,1.6,1.9,0.7,3.6,4.3,1.8,0.8,0.4,6.7
14,John Konchar,MEM,34,13.7,1.4,3,0.456,0.4,1.2,0.366,0.6,0.7,0.833,0.5,1,0.7,2.1,2.8,1.1,0.9,0.2,3.8
15,Killian Tillie,MEM,13,9,0.9,3,0.308,0.5,1.8,0.25,0.3,0.4,0.8,0.1,1.2,0.5,0.8,1.3,0.3,0.4,0.5,2.6
16,Sean McDermott,MEM,17,9.2,0.8,1.9,0.394,0.3,1.3,0.227,0.5,0.5,1,0.2,0.5,0.4,0.8,1.1,0.2,0.1,0.2,2.3
17,Tim Frazier,MEM,3,10.8,0.7,2.7,0.25,0,0.7,0,0,0,0,1,1.3,0,1.3,1.3,2.3,0.3,0,1.3
18,Jontay Porter,MEM,7,3.1,0.4,1.1,0.375,0.3,0.9,0.333,0,0,0,0.7,0.9,0.3,1,1.3,0.1,0.3,0,1.1
1,Jimmy Butler,MIA,44,33.9,7,14.2,0.493,0.4,2,0.218,6.8,7.9,0.857,2.2,1.5,1.8,5.2,7,7.3,2.1,0.4,21.3
2,Bam Adebayo,MIA,54,33.5,7.2,12.7,0.566,0,0.1,0.25,4.6,5.7,0.803,2.7,2.2,2.3,6.9,9.1,5.3,1.1,1.1,19.1
3,Tyler Herro,MIA,48,30.7,5.6,13.1,0.427,1.9,5.5,0.344,1.9,2.3,0.809,1.9,1.3,0.5,4.4,4.9,3.4,0.7,0.4,14.9
4,Kendrick Nunn,MIA,47,29,5.4,11.5,0.468,2.2,5.7,0.383,1,1.1,0.923,1.4,1.9,0.4,2.9,3.2,2.8,1,0.3,14
5,Duncan Robinson,MIA,61,32.1,4.4,10.1,0.44,3.5,8.6,0.405,0.8,1,0.836,1.2,2.5,0.1,3.5,3.6,1.8,0.6,0.2,13.2
6,Goran Dragic,MIA,40,26.3,4.6,10.6,0.435,1.6,4.7,0.355,2.1,2.5,0.814,2.5,2.2,0.5,3,3.5,4.4,0.7,0.2,13
7,Victor Oladipo,MIA,4,27.8,4,10.8,0.372,1,4.2,0.235,3,4.5,0.667,3.5,3.2,0.8,2.8,3.5,3.5,1.8,0.5,12
8,Kelly Olynyk,MIA,43,26.9,3.8,8.7,0.431,1.8,5.7,0.317,0.7,0.9,0.775,1.3,2.9,1,5,6.1,2.1,0.9,0.6,10
9,Avery Bradley,MIA,10,21.1,3.1,6.6,0.47,1.6,3.8,0.421,0.7,0.9,0.778,0.9,2.6,0.2,1.6,1.8,1.4,0.7,0.1,8.5
10,Trevor Ariza,MIA,20,27,2.9,7.2,0.393,1.5,4.2,0.357,1.1,1.4,0.75,0.6,1.6,0.8,3.8,4.5,1.8,0.7,0.6,8.2
11,Dewayne Dedmon,MIA,6,13.3,2.7,4,0.667,0,0.5,0,1.5,1.7,0.9,0.8,1.3,2.2,3.3,5.5,0.3,0.8,0.7,6.8
12,Max Strus,MIA,32,12.1,2,4.3,0.457,1.2,3.5,0.351,0.3,0.5,0.647,0.2,1.1,0.1,0.8,0.8,0.5,0.2,0,5.5
13,Precious Achiuwa,MIA,55,12.4,2,3.8,0.541,0,0,0,1,1.9,0.515,0.7,1.6,1.3,2.3,3.6,0.5,0.3,0.5,5
14,Gabe Vincent,MIA,42,13.4,1.8,4.8,0.369,0.9,3.1,0.287,0.5,0.5,0.87,0.7,1.6,0.2,0.9,1.1,1.3,0.4,0,4.9
15,Andre Iguodala,MIA,54,21.5,1.6,4.2,0.381,1,3.1,0.329,0.4,0.6,0.647,1,1.4,0.6,3,3.6,2.2,1,0.6,4.6
16,Meyers Leonard,MIA,3,9.8,1,2.3,0.429,1,2.3,0.429,0.3,0.7,0.5,0.7,1.7,0,2.3,2.3,0.7,0,0,3.3
17,Nemanja Bjelica,MIA,8,10.8,1.1,3,0.375,0.4,2,0.188,0.1,0.4,0.333,0.4,1.9,0.1,1.9,2,1.1,0.2,0.2,2.8
18,Chris Silva,MIA,11,7.5,0.8,1.2,0.692,0.1,0.1,1,1,1.4,0.733,0.8,1.8,0.6,1.6,2.3,0.5,0.1,0.5,2.7
19,KZ Okpala,MIA,30,12.8,1,2.8,0.345,0.4,1.6,0.255,0.1,0.3,0.3,0.4,1.7,0.6,1.4,2,0.5,0.3,0.3,2.4
20,Maurice Harkless,MIA,11,11.2,0.5,1.2,0.385,0.5,1,0.455,0,0.2,0,0.3,1.3,0.2,1,1.2,0.6,0.2,0.4,1.4
1,Giannis Antetokounmpo,MIL,51,33.6,10.3,18.1,0.568,1.1,3.6,0.301,6.8,10,0.682,3.6,2.7,1.7,9.7,11.4,6,1.2,1.3,28.5
2,Khris Middleton,MIL,58,33.2,7.4,15.5,0.478,2.2,5.1,0.43,3,3.4,0.892,2.7,2.3,0.8,5.1,5.9,5.4,1.1,0.2,20.1
3,Jrue Holiday,MIL,48,31.9,6.8,13.5,0.506,1.9,4.6,0.399,1.7,2.1,0.81,2.1,1.6,1.2,3.3,4.5,5.7,1.8,0.5,17.2
4,Brook Lopez,MIL,59,27.2,4.3,8.9,0.482,1.5,4.4,0.351,1.5,1.8,0.849,0.9,2,1.4,3.6,4.9,0.7,0.6,1.4,11.6
5,Bobby Portis,MIL,56,21.2,4.8,9.1,0.528,1.2,2.5,0.486,0.7,1,0.759,0.9,1.7,1.8,5.2,7,1.1,0.7,0.4,11.5
6,Donte DiVincenzo,MIL,56,27.4,3.8,9.2,0.415,1.9,5.1,0.378,0.8,1,0.737,1.4,1.6,1.2,4.3,5.6,3.1,1.1,0.2,10.3
7,Bryn Forbes,MIL,59,19.1,3.4,7.4,0.454,2.1,4.8,0.433,0.7,0.9,0.769,0.6,1.1,0.2,1.3,1.4,0.6,0.3,0,9.5
8,Pat Connaughton,MIL,57,23.1,2.6,5.7,0.451,1.5,3.9,0.388,0.5,0.6,0.743,0.5,1.5,1,3.8,4.8,1.2,0.7,0.3,7.1
9,D.J. Augustin,MIL,37,19.3,1.9,5.2,0.37,1.3,3.5,0.38,1,1.1,0.9,0.9,0.9,0.3,1.1,1.4,3,0.5,0,6.1
10,Jeff Teague,MIL,12,16.7,1.9,4.4,0.434,0.3,1.3,0.25,1.6,1.8,0.864,0.9,0.9,0.2,1.5,1.8,3.2,0.2,0.2,5.8
11,Jordan Nwora,MIL,25,9.1,1.9,4.3,0.444,1,2.1,0.462,0.7,0.8,0.81,0.8,0.8,0.2,1.6,1.8,0.3,0.6,0.2,5.5
12,D.J. Wilson,MIL,12,8.7,1.3,3.6,0.372,0.8,2.3,0.357,0.1,0.2,0.5,0.3,1.1,0.2,1.8,2.1,0.2,0.1,0.3,3.6
13,Thanasis Antetokounmpo,MIL,48,10.3,1.4,2.6,0.524,0.1,0.5,0.292,0.4,0.8,0.462,0.8,1.4,1.1,1.4,2.5,0.9,0.4,0.2,3.3
14,Sam Merrill,MIL,27,7.4,1.1,2.3,0.484,0.7,1.5,0.488,0.1,0.1,1,0.4,0.6,0.2,0.8,1,0.7,0.2,0,3.1
15,Rodions Kurucs,MIL,5,6.7,1,1.6,0.625,0.6,0.8,0.75,0.4,0.4,1,0.8,1.6,0.6,1.2,1.8,0.8,0.6,0,3
16,Mamadi Diakite,MIL,12,8.5,1,2.4,0.414,0.1,0.6,0.143,0.5,0.5,1,0.2,1,0.5,1.8,2.2,0.5,0.3,0.4,2.6
17,Torrey Craig,MIL,18,11.2,1,2.6,0.391,0.4,1.2,0.364,0.1,0.1,0.5,0.3,1.3,0.7,1.7,2.4,0.9,0.5,0.4,2.5
18,P.J. Tucker,MIL,9,17.1,0.9,2.4,0.364,0.7,1.7,0.4,0,0,0,0.2,1.1,1,1.9,2.9,0.6,0.3,0.2,2.4
19,Axel Toupane,MIL,8,7.7,0.5,1.4,0.364,0.1,0.2,0.5,0.6,0.9,0.714,0,0.8,0,0.8,0.8,0.5,0.2,0.4,1.8
20,Jaylen Adams,MIL,7,2.6,0.1,1.1,0.125,0,0.3,0,0,0,0,0,0.1,0,0.4,0.4,0.3,0,0,0.3
1,Karl-Anthony Towns,MIN,39,34.3,8.6,17.6,0.491,2.5,6.2,0.397,5.1,5.8,0.868,3.2,3.6,2.7,8.2,10.9,4.6,0.7,1.4,24.8
2,Malik Beasley,MIN,37,32.8,7.1,16.2,0.44,3.5,8.7,0.399,1.8,2.2,0.85,1.6,1.7,0.8,3.6,4.4,2.4,0.8,0.2,19.6
3,D'Angelo Russell,MIN,31,27.7,6.8,15.5,0.441,2.9,7.1,0.407,2.7,3.4,0.8,2.7,1.7,0.4,2.1,2.5,4.9,1,0.4,19.3
4,Anthony Edwards,MIN,61,31.4,6.6,16.5,0.401,2.3,7.1,0.324,2.8,3.5,0.781,2.1,1.7,0.8,3.6,4.4,2.7,1.2,0.4,18.3
5,Naz Reid,MIN,59,19.2,4.2,8.2,0.517,0.8,2.4,0.343,1.8,2.5,0.738,1,2.5,1.1,3.5,4.6,1.1,0.5,1.1,11.1
6,Jaylen Nowell,MIN,38,18.8,3.6,8.4,0.428,1.2,3.7,0.338,1.1,1.3,0.824,0.7,1.8,0.5,1.9,2.3,1.6,0.6,0.3,9.5
7,Ricky Rubio,MIN,57,26.2,2.7,7.2,0.378,0.9,2.9,0.301,2,2.3,0.856,1.8,2.1,0.4,2.8,3.2,6.6,1.4,0.1,8.3
8,Jaden McDaniels,MIN,54,23.3,2.6,5.9,0.449,1.1,3,0.372,0.4,0.7,0.59,0.7,2.6,0.8,2.8,3.6,1.1,0.5,1,6.8
9,Juancho Hernangomez,MIN,42,16.7,2.4,5.4,0.439,0.9,3,0.312,1.1,1.7,0.662,0.5,0.9,0.9,3.1,4,0.6,0.4,0.1,6.8
10,Josh Okogie,MIN,48,21.2,1.8,4.6,0.4,0.5,2,0.266,1.4,1.8,0.802,0.8,2.2,0.9,1.6,2.5,1.1,1,0.5,5.6
11,Jarrett Culver,MIN,34,14.7,2,4.9,0.411,0.4,1.6,0.245,0.9,1.4,0.604,0.8,1.7,1,2.1,3.1,0.7,0.5,0.3,5.3
12,Jake Layman,MIN,42,14.3,2.1,4.2,0.497,0.5,1.7,0.288,0.6,0.9,0.703,0.6,1,0.3,1.2,1.5,0.7,0.7,0.4,5.3
13,Jarred Vanderbilt,MIN,53,17.2,2.1,3.5,0.591,0,0.1,0.25,1,1.8,0.564,0.9,1.9,1.7,3.8,5.5,1.3,0.9,0.8,5.2
14,Jordan McLaughlin,MIN,41,19.2,2,5,0.396,0.7,1.8,0.365,0.4,0.6,0.75,1,0.9,0.4,1.7,2.1,4.1,1.1,0.1,5.1
15,Ed Davis,MIN,22,13.3,0.9,2,0.432,0,0,0,0.5,0.5,0.833,0.3,2.5,2.1,3,5.1,1,0.6,0.6,2.2
16,Ashton Hagans,MIN,2,2,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
1,Zion Williamson,NOP,55,33,10.4,16.9,0.617,0.2,0.5,0.3,6,8.6,0.7,2.6,2.3,2.7,4.6,7.3,3.6,0.9,0.7,27
2,Brandon Ingram,NOP,55,34.6,8.6,18.2,0.471,2.3,6.2,0.379,4.8,5.4,0.886,2.5,2,0.5,4.4,4.9,4.9,0.7,0.6,24.3
3,Lonzo Ball,NOP,46,31.1,5.1,12.2,0.42,3,7.9,0.382,0.8,1,0.792,2,2,0.5,3.6,4.1,5.6,1.4,0.6,14.1
4,Eric Bledsoe,NOP,59,29.9,4.1,10,0.409,1.8,5.1,0.352,1.8,2.4,0.722,1.6,1.6,0.4,3,3.4,3.7,0.7,0.3,11.8
5,Nickeil Alexander-Walker,NOP,41,20.7,3.9,9.2,0.418,1.6,4.6,0.348,1,1.3,0.75,1.4,1.9,0.2,2.8,3.1,2,1,0.5,10.2
6,James Johnson,NOP,11,27.2,3.6,8.8,0.412,0.9,3.3,0.278,1.5,2.2,0.708,1.5,3,0.7,3.4,4.1,2.7,0.9,1.3,9.7
7,Josh Hart,NOP,47,28.7,3.2,7.3,0.439,1.3,4.1,0.326,1.5,1.9,0.775,1,2.4,1.1,6.9,8,2.3,0.8,0.3,9.2
8,J.J. Redick,NOP,31,18.6,2.8,6.9,0.407,1.6,4.5,0.364,1.5,1.5,0.957,0.8,1.2,0.1,1.6,1.7,1.3,0.3,0.1,8.7
9,Steven Adams,NOP,56,28,3.4,5.4,0.62,0,0.1,0,1.1,2.4,0.444,1.4,2,3.8,5.2,9,1.9,0.9,0.7,7.8
10,Isaiah Thomas,NOP,3,16.1,3,9,0.333,1,4,0.25,0.7,0.7,1,2,1,0.3,1,1.3,1.7,0.3,0,7.7
11,Willy Hernangomez,NOP,36,15.6,2.8,5,0.553,0,0.2,0.111,1,1.6,0.643,0.5,1.2,2.3,4,6.2,0.9,0.3,0.5,6.5
12,"Kira Lewis, Jr.",NOP,42,16.3,2.5,6.4,0.397,0.8,2.3,0.344,0.6,0.8,0.788,0.6,1.5,0.2,1,1.2,2.3,0.7,0.2,6.5
13,Jaxson Hayes,NOP,48,14.8,2.5,3.8,0.645,0.1,0.1,0.429,1.3,1.7,0.765,0.6,1.7,1.3,2.6,3.9,0.5,0.4,0.5,6.3
14,Naji Marshall,NOP,20,19,1.8,4.8,0.368,0.7,2,0.317,1.7,2.6,0.654,0.8,1.8,0.2,3.3,3.5,2.5,0.7,0.3,5.8
15,Wesley Iwundu,NOP,12,15.6,1.2,3,0.389,0.2,1.3,0.125,1,1.2,0.8,0.9,1.6,0.4,2.4,2.8,0.4,0.4,0.1,3.5
16,James Nunnally,NOP,3,7.8,1,2.3,0.429,0.7,2,0.333,0,0,0,0.3,0,0.3,1,1.3,0,0,0,2.7
17,Nicolo Melli,NOP,22,11,0.7,2.7,0.254,0.3,1.7,0.189,0.3,0.3,0.857,0.3,1.3,0.5,2,2.6,1.1,0.4,0,2
18,Wenyen Gabriel,NOP,10,6.1,0.4,1.4,0.286,0.2,0.7,0.286,0.4,0.7,0.571,0.8,0.5,0.8,1,1.8,0.6,0.1,0.1,1.4
19,Sindarius Thornwell,NOP,14,5.2,0.5,1.5,0.333,0.2,0.6,0.333,0,0.1,0,0.3,0.2,0.1,0.3,0.4,0.3,0.4,0.1,1.2
20,Will Magnay,NOP,1,3.3,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1,Julius Randle,NYK,60,37.5,8.4,18.3,0.462,2.2,5.3,0.416,4.9,6.1,0.805,3.5,3.2,1.3,9.2,10.5,6,1,0.2,24
2,R.J. Barrett,NYK,61,34.4,6.5,14.6,0.447,1.5,3.9,0.388,3,4,0.744,2,2.6,1,4.7,5.7,3,0.7,0.3,17.6
3,Derrick Rose,NYK,25,25.8,5.4,11.6,0.46,0.9,2.5,0.365,1.9,2.3,0.842,1.3,1.2,0.3,2.2,2.5,4,1,0.5,13.6
4,Alec Burks,NYK,44,25.8,4.2,10.1,0.414,2,5,0.408,2.2,2.5,0.865,1,2.1,0.4,4.1,4.5,2.2,0.7,0.3,12.6
5,Immanuel Quickley,NYK,56,19.5,3.6,9.3,0.392,1.9,4.8,0.389,2.5,2.8,0.892,0.9,1.8,0.4,1.8,2.2,2.1,0.5,0.2,11.7
6,Elfrid Payton,NYK,52,25.3,4.8,10.8,0.44,0.5,1.8,0.283,1.3,1.9,0.69,1.8,1.8,1.2,2.4,3.6,3.4,0.8,0.2,11.3
7,Reggie Bullock,NYK,54,28.8,3.7,8.3,0.44,2.4,5.9,0.407,0.6,0.7,0.895,0.7,2.2,0.2,3.1,3.4,1.5,0.8,0.2,10.4
8,Mitchell Robinson,NYK,31,27.5,3.7,5.7,0.653,0,0,0,0.8,1.7,0.491,0.8,2.8,3.6,4.5,8.1,0.5,1.1,1.5,8.3
9,Austin Rivers,NYK,21,21.1,2.8,6.4,0.43,1.3,3.7,0.364,0.5,0.7,0.714,1,1.5,0.2,2,2.2,2,0.6,0,7.3
10,Taj Gibson,NYK,34,20.3,2.1,3.4,0.609,0.1,0.4,0.214,0.9,1.3,0.689,0.6,2.1,2.2,3.2,5.5,0.7,0.8,1,5.1
11,Nerlens Noel,NYK,54,23.8,2.2,3.5,0.616,0,0,0,0.8,1.1,0.695,1.1,2.7,2.3,4.2,6.5,0.7,1,2.2,5.1
12,Kevin Knox,NYK,38,11.9,1.4,3.6,0.399,0.9,2.3,0.391,0.4,0.5,0.778,0.4,1,0.3,1.3,1.6,0.5,0.3,0.2,4.2
13,Obi Toppin,NYK,51,11.1,1.6,3.4,0.485,0.4,1.4,0.296,0.3,0.4,0.727,0.4,0.9,0.4,1.8,2.3,0.5,0.2,0.2,4
14,Frank Ntilikina,NYK,24,10.9,1,2.7,0.369,0.8,1.6,0.474,0.3,0.7,0.5,0.4,1.6,0.2,0.8,1,0.6,0.6,0.1,3.1
15,Dennis Smith,NYK,3,9.2,0.7,3.3,0.2,0,1.3,0,1.7,2,0.833,0.3,1.3,0,0.7,0.7,1,1,0,3
16,Norvel Pelle,NYK,4,6.4,0.8,1,0.75,0,0,0,0.2,0.5,0.5,0,0,0.2,1.5,1.8,0,0.2,0.8,1.8
17,Ignas Brazdeikis,NYK,4,1.8,0,0.2,0,0,0,0,0.5,0.5,1,0.2,0,0.2,0.2,0.5,0.2,0,0,0.5
18,Jared Harper,NYK,4,2.3,0,0.5,0,0,0,0,0.5,0.5,1,0.5,0,0,0,0,0,0,0,0.5
19,Theo Pinson,NYK,14,2.2,0.1,0.6,0.111,0,0.6,0,0,0,0,0.1,0.3,0,0.1,0.1,0.1,0,0,0.1
1,Shai Gilgeous-Alexander,OKC,35,33.7,8.2,16.1,0.508,2,4.9,0.418,5.3,6.5,0.808,3,2,0.5,4.2,4.7,5.9,0.8,0.7,23.7
2,Al Horford,OKC,28,27.9,5.8,12.9,0.45,2,5.4,0.368,0.6,0.8,0.818,1,1.7,1,5.7,6.7,3.4,0.9,0.9,14.2
3,Luguentz Dort,OKC,46,29.7,4.8,12,0.402,2.1,6.2,0.346,2.2,3,0.741,1.5,2.5,0.7,3,3.7,1.6,1,0.4,14
4,Darius Bazley,OKC,44,31.2,4.8,12.1,0.401,1.5,5.3,0.289,2,2.8,0.719,2,1,0.8,6.6,7.4,1.5,0.6,0.5,13.2
5,Hamidou Diallo,OKC,32,23.8,4.5,9.3,0.481,0.4,1.3,0.293,2.6,4.1,0.629,1.5,2.6,1.2,4,5.2,2.4,1,0.4,11.9
6,George Hill,OKC,14,26.3,4.4,8.6,0.508,1.6,4.1,0.386,1.5,1.8,0.84,0.9,0.9,0.6,1.5,2.1,3.1,0.9,0.1,11.8
7,Svi Mykhailiuk,OKC,20,23.9,4,8.8,0.457,1.4,4.3,0.337,0.5,0.8,0.667,1.7,0.9,0.6,2.8,3.4,1.8,0.7,0.2,9.9
8,Theo Maledon,OKC,54,27.7,3.4,9.2,0.371,1.6,4.7,0.35,1.4,1.9,0.738,2.1,2.1,0.4,3.1,3.5,3.5,0.9,0.1,9.9
9,Ty Jerome,OKC,27,24.1,3.6,8.5,0.419,2,5.1,0.396,0.7,0.9,0.72,1.4,1.7,0.4,2.4,2.8,3.7,0.6,0.1,9.8
10,Mike Muscala,OKC,35,18.4,3.4,7.6,0.446,1.9,5.3,0.37,0.9,1,0.917,0.6,1.5,0.5,3.2,3.8,0.8,0.2,0.3,9.7
11,Tony Bradley,OKC,15,18.8,3.9,6,0.644,0,0.1,0,1.5,2,0.733,1.4,1.7,2.3,4.1,6.4,0.8,0.5,0.7,9.2
12,Isaiah Roby,OKC,49,23.7,3.5,7,0.5,0.6,1.7,0.341,1.4,2,0.719,1.9,2.7,1.6,4.1,5.7,1.9,0.8,0.7,9
13,Moses Brown,OKC,31,20.3,3.3,6,0.543,0,0,0,1.9,3,0.628,1,2.1,3.3,5,8.3,0.2,0.6,1.1,8.4
14,Kenrich Williams,OKC,60,21.2,3.1,6,0.527,0.8,1.7,0.446,0.6,0.9,0.579,1.1,2.1,1.3,2.9,4.2,2.2,0.8,0.2,7.6
15,Aleksej Pokusevski,OKC,37,23.4,2.8,8.6,0.328,1.2,4.6,0.265,0.6,0.8,0.8,2,1.2,0.7,4,4.7,2,0.4,1.1,7.5
16,Justin Jackson,OKC,33,16.5,2.6,6.4,0.406,1,3.4,0.306,0.9,1.1,0.857,0.9,0.9,0.4,1.7,2.2,1.5,0.5,0.1,7.2
17,Jaylen Hoard,OKC,10,16.5,2.1,4.4,0.477,0,0.5,0,1.7,2.1,0.81,1.4,1.4,1.2,2.2,3.4,0.8,0.6,0.2,5.9
18,Darius Miller,OKC,18,10.9,1.2,2.7,0.458,0.9,2.3,0.405,0.7,0.7,1,0.4,0.7,0.1,1.2,1.3,1.2,0.7,0.3,4.1
19,Josh Hall,OKC,14,12.4,0.6,3.2,0.2,0.1,1.4,0.1,1.2,2.1,0.586,1.1,1.5,0.1,1.9,2,1.3,0,0,2.6
20,Justin Robinson,OKC,9,9.7,0.8,2.3,0.333,0.4,1.6,0.286,0.3,0.6,0.6,0.2,1.1,0.1,0.7,0.8,1,0.3,0,2.3
1,Nikola Vucevic,ORL,44,34.1,9.9,20.6,0.48,2.7,6.5,0.406,2.1,2.5,0.827,1.9,1.8,2,9.8,11.8,3.8,1,0.6,24.5
2,Evan Fournier,ORL,26,30.3,6.5,14.2,0.461,2.8,7.2,0.388,3.8,4.7,0.797,2.1,2.1,0.2,2.7,2.9,3.7,1,0.3,19.7
3,Terrence Ross,ORL,46,29.3,5.5,13.4,0.412,1.9,5.7,0.337,2.6,3,0.87,1.6,1.9,0.3,3.1,3.4,2.3,1,0.5,15.6
4,Aaron Gordon,ORL,25,29.4,5.1,11.7,0.437,1.7,4.5,0.375,2.6,4.2,0.629,2.7,2,1.6,5.1,6.6,4.2,0.6,0.8,14.6
5,"Wendell Carter, Jr.",ORL,14,27.5,5.6,9.9,0.565,0.4,1.3,0.333,2.6,3.6,0.706,1.4,2.3,3.1,6.1,9.1,1.7,1.1,0.9,14.1
6,Markelle Fultz,ORL,8,26.9,5.1,13,0.394,0.5,2,0.25,2.1,2.4,0.895,2.2,2.2,0.6,2.5,3.1,5.4,1,0.2,12.9
7,Cole Anthony,ORL,35,26.7,4.3,11.3,0.386,1.1,3.5,0.303,2,2.4,0.821,1.9,2.1,0.9,3.7,4.5,4.3,0.7,0.5,11.7
8,Gary Harris,ORL,8,26.4,3.2,9.9,0.329,1.1,2.9,0.391,3.1,3.8,0.833,1,1.9,0.5,1,1.5,2.4,0.5,0.4,10.8
9,Dwayne Bacon,ORL,60,25.2,3.9,9.7,0.399,0.9,3,0.309,1.9,2.2,0.844,0.6,1.5,0.3,2.7,3,1.2,0.6,0.1,10.6
10,R.J. Hampton,ORL,15,23.1,3.8,8.7,0.435,0.7,2.6,0.282,1.1,1.8,0.63,1.5,1.5,0.6,3.3,3.9,1.6,0.8,0.3,9.5
11,Michael Carter-Williams,ORL,31,25.8,3.4,8.7,0.389,0.5,2,0.246,1.6,2.6,0.613,2.2,2.6,1.3,3.2,4.5,4.2,0.8,0.5,8.8
12,James Ennis,ORL,39,24.3,2.9,6.1,0.475,1.1,2.6,0.436,1.7,2.1,0.815,0.8,2.1,1.1,3,4.1,1.5,0.8,0.2,8.6
13,Otto Porter,ORL,3,22.2,3,8.3,0.36,0.3,3,0.111,1.7,1.7,1,0,1.3,0,4.7,4.7,1.7,1.3,0,8
14,Chuma Okeke,ORL,43,25,2.8,7,0.403,1,3,0.331,0.7,0.9,0.757,0.8,1,1,3.1,4,2.2,1,0.5,7.3
15,Mohamed Bamba,ORL,36,13.4,2.8,5.9,0.483,0.8,2.3,0.361,0.7,1.1,0.65,0.6,1.8,1.4,3.3,4.8,0.6,0.2,1,7.2
16,Frank Mason,ORL,4,19.8,2.2,6,0.375,0.5,1.2,0.4,1.2,1.8,0.714,1.2,1.8,0.8,2.2,3,3,0,0,6.2
17,Chasson Randle,ORL,29,19.6,1.9,5,0.377,1,2.9,0.353,0.7,0.9,0.778,1.2,1.6,0.1,1.7,1.8,1.9,0.4,0.1,5.6
18,Robert Franks,ORL,6,14,1.7,3.8,0.435,0.7,2.2,0.308,1.5,1.7,0.9,0.3,1.3,1,1.3,2.3,0.7,0.3,0.5,5.5
19,Al-Farouq Aminu,ORL,17,21.6,2.1,5.2,0.404,0.4,1.8,0.226,0.8,1,0.824,1.5,1.3,1.2,4.2,5.4,1.7,1,0.5,5.5
20,Khem Birch,ORL,48,19.8,2,4.4,0.45,0.1,0.4,0.19,1.3,1.8,0.741,0.5,1.4,2.4,2.6,5.1,1.1,0.7,0.6,5.3
21,Devin Cannady,ORL,8,9.3,1.4,3.5,0.393,0.8,2,0.375,0.8,0.9,0.857,0.2,1.1,0,0.6,0.6,0.1,0.6,0.1,4.2
22,Donta Hall,ORL,5,11.7,1.4,2,0.7,0,0,0,1.4,2.2,0.636,0.4,0.8,1.8,2,3.8,1.2,0.6,1.2,4.2
23,Jordan Bone,ORL,14,14,1.6,3.9,0.426,0.7,2.3,0.312,0,0,0,0.2,0.8,0.3,1.4,1.7,1.3,0.1,0,4
24,Gary Clark,ORL,35,18.2,1.1,3.7,0.305,0.9,3.1,0.287,0.2,0.3,0.8,0.5,1,0.9,2.3,3.2,0.9,0.3,0.2,3.4
25,Karim Mane,ORL,10,8.8,0.3,1.3,0.231,0.1,0.2,0.5,0.4,0.5,0.8,0.3,1,0.1,1.3,1.4,0.4,0,0.2,1.1
1,Joel Embiid,PHI,41,32.1,9.4,18.4,0.513,1.2,3.1,0.375,9.9,11.7,0.851,3.2,2.4,2.3,8.8,11.1,3.1,1,1.4,30
2,Tobias Harris,PHI,51,33.1,7.9,15.2,0.519,1.4,3.5,0.403,3.1,3.5,0.887,1.9,2,1,6.2,7.1,3.6,0.9,0.9,20.2
3,Ben Simmons,PHI,48,33.3,5.7,10.4,0.545,0.1,0.2,0.3,3.4,5.5,0.615,3.3,3.1,1.7,6,7.6,7.1,1.6,0.6,14.8
4,Shake Milton,PHI,52,24,4.9,11,0.448,1.1,3.3,0.343,2.4,2.9,0.834,1.8,2.2,0.6,1.8,2.3,3,0.6,0.2,13.4
