Player,TEAM,AGE,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,HEIGHT
Devon Dotson,CHI,21,185,Kansas,USA,Undrafted,Undrafted,Undrafted,6,1.0,0.5,0.3,3.9,7.7,5.6,11.7,42.9,15.4,74
Devin Vassell,SAS,20,200,Florida State,USA,2020,1,11,50,4.9,2.6,0.9,-0.5,2.3,13.0,13.2,53.8,7.6,77
Devin Cannady,ORL,24,183,Princeton,USA,2019,,,8,4.3,0.6,0.1,-13.7,0.0,6.5,18.1,54.7,2.3,74
Devin Booker,PHX,24,206,Kentucky,USA,2015,1,13,57,25.5,4.1,4.5,7.2,1.4,10.8,32.1,58.5,20.8,77
Desmond Bane,MEM,22,215,TCU,USA,2020,1,30,56,9.1,3.0,1.7,1.5,1.7,11.6,15.4,60.8,10.5,77
Derrick White,SAS,26,190,Colorado,USA,2017,1,29,36,15.4,3.0,3.5,5.1,1.2,8.6,22.3,55.0,16.8,76
Derrick Rose,NYK,32,200,Memphis,USA,2008,1,1,41,14.0,2.4,4.1,3.7,1.4,7.6,25.3,53.1,28.5,74
Derrick Jones Jr.,POR,24,210,UNLV,USA,Undrafted,Undrafted,Undrafted,53,7.1,3.8,0.8,-1.8,5.7,9.7,12.3,57.1,4.7,77
Derrick Favors,UTA,29,265,Georgia Tech,USA,2010,1,3,57,5.4,5.5,0.7,2.3,13.0,21.6,12.9,64.8,6.5,81
Denzel Valentine,CHI,27,220,Michigan State,USA,2016,1,14,54,6.8,3.4,1.6,0.2,2.2,17.3,18.7,48.5,13.4,76
Dennis Smith Jr.,DET,23,205,North Carolina State,USA,2017,1,9,23,6.7,2.4,3.3,-2.2,2.9,9.9,19.1,49.2,27.6,74
Dennis Schroder,LAL,27,172,None,Germany,2013,1,17,57,15.7,3.5,5.8,3.1,1.5,9.3,23.0,54.6,26.3,75
Deni Avdija,WAS,20,210,None,Israel,2020,1,9,54,6.3,4.9,1.2,-2.1,1.7,18.1,11.8,51.5,6.4,81
Delon Wright,SAC,29,185,Utah,USA,2015,1,20,52,9.6,4.1,4.2,-4.3,3.5,12.4,15.7,56.2,23.5,77
Dejounte Murray,SAS,24,180,Washington,USA,2016,1,29,57,15.6,7.1,5.2,3.1,2.5,19.3,22.9,51.0,24.2,76
Deividas Sirvydis,DET,20,190,None,Lithuania,2019,2,37,15,1.1,0.5,0.1,-0.8,0.0,18.6,21.8,45.3,9.5,80
Deandre Ayton,PHX,22,250,Arizona,Bahamas,2018,1,1,61,15.0,10.7,1.4,6.0,11.7,23.8,18.5,65.2,6.6,83
Dean Wade,CLE,24,228,Kansas State,USA,Undrafted,Undrafted,Undrafted,52,5.1,3.0,1.1,-4.6,2.9,15.4,12.6,56.1,9.8,81
DeMarcus Cousins,LAC,30,270,Kentucky,USA,2010,1,5,34,9.0,7.0,2.1,-3.7,6.8,30.2,24.0,51.4,18.5,82
DeMar DeRozan,SAS,31,220,Southern California,USA,2009,1,9,51,21.5,4.4,7.2,-1.2,2.2,10.5,25.2,59.1,31.6,78
DeAndre' Bembry,TOR,26,210,St. Joseph's (PA),USA,2016,1,21,40,5.0,2.6,2.0,1.7,3.4,10.6,13.4,58.1,15.8,77
DeAndre Jordan,BKN,32,265,Texas A&M,USA,2008,2,35,53,7.7,7.5,1.7,-0.7,9.4,22.9,12.6,75.3,10.0,83
De'Anthony Melton,MEM,22,200,Southern California,USA,2018,2,46,40,10.1,3.2,2.7,9.3,3.0,11.8,19.5,59.5,17.9,74
De'Andre Hunter,ATL,23,225,Virginia,USA,2019,1,4,20,16.0,5.1,2.1,4.6,2.5,12.6,18.8,62.5,10.3,80
De'Aaron Fox,SAC,23,185,Kentucky,USA,2017,1,5,58,25.2,3.5,7.2,-4.5,1.6,8.5,30.4,56.5,32.6,75
Davis Bertans,WAS,28,225,None,Latvia,2011,2,42,46,11.6,3.1,0.9,1.2,1.3,10.1,15.1,63.2,4.6,82
David Nwaba,HOU,28,219,Cal Poly-Obispo,USA,Undrafted,Undrafted,Undrafted,30,9.2,3.9,1.0,-1.3,5.5,10.8,16.3,55.7,7.0,77
Darius Miller,OKC,31,225,Kentucky,USA,2012,2,46,18,4.1,1.3,1.2,7.2,1.1,10.3,12.7,68.5,15.1,78
Darius Garland,CLE,21,192,Vanderbilt,USA,2019,1,5,51,17.7,2.5,6.2,-7.0,1.4,6.2,24.4,55.0,29.7,73
Darius Bazley,OKC,20,208,None,USA,2019,1,23,45,13.2,7.4,1.6,-10.7,2.2,20.2,20.8,49.8,7.7,80
Dario Saric,PHX,27,225,None,Croatia,2014,1,12,41,9.1,4.0,1.3,12.4,5.6,17.1,22.5,56.8,11.0,82
Danuel House Jr.,HOU,27,220,Texas A&M,USA,Undrafted,Undrafted,Undrafted,32,9.1,3.8,1.8,-12.6,1.9,12.0,15.0,53.3,10.3,78
Dante Exum,HOU,25,214,None,Australia,2014,1,5,6,3.8,2.8,2.2,3.6,1.5,12.9,11.9,42.8,15.5,77
Danny Green,PHI,33,215,North Carolina,USA,2009,2,46,59,9.6,3.7,1.7,5.4,3.1,9.7,13.6,59.3,8.1,78
Danilo Gallinari,ATL,32,233,None,Italy,2008,1,6,42,13.5,4.0,1.4,5.3,1.4,15.3,21.6,61.5,9.4,82
Daniel Theis,CHI,29,245,None,Germany,Undrafted,Undrafted,Undrafted,58,9.6,5.3,1.7,0.1,5.4,16.2,15.4,61.5,10.2,80
Daniel Oturu,LAC,21,240,Minnesota,USA,2020,2,33,24,1.5,1.2,0.3,-1.9,10.4,17.0,15.8,55.5,11.5,80
Daniel Gafford,WAS,22,234,Arkansas,USA,2019,2,38,43,6.4,4.1,0.5,2.8,11.3,16.1,15.9,68.1,5.5,82
Damyean Dotson,CLE,26,210,Houston,USA,2017,2,44,36,6.6,2.1,2.1,-10.1,0.7,10.1,16.8,48.8,17.8,77
Damion Lee,GSW,28,210,Louisville,USA,Undrafted,Undrafted,Undrafted,57,6.5,3.2,1.3,1.6,2.0,14.2,12.7,63.6,9.4,77
Damian Lillard,POR,30,195,Weber State,USA,2012,1,6,55,28.4,4.2,7.5,1.3,1.3,10.3,31.0,60.4,33.7,74
Damian Jones,SAC,25,245,Vanderbilt,USA,2016,1,30,28,3.1,2.4,0.3,-4.9,7.8,14.4,11.1,72.7,4.3,83
Dakota Mathias,PHI,25,200,Purdue,USA,2018,,,8,6.0,0.9,1.6,-10.6,0.7,4.1,16.6,47.4,15.7,76
DaQuan Jeffries,HOU,23,230,Tulsa,USA,Undrafted,Undrafted,Undrafted,24,3.1,1.8,0.4,2.2,3.9,8.8,11.3,48.0,3.7,77
D.J. Wilson,HOU,25,231,Michigan,USA,2017,1,17,32,4.9,2.9,0.6,-11.5,3.7,19.3,20.0,51.2,8.7,82
D.J. Augustin,HOU,33,183,Texas-Austin,USA,2008,1,9,51,7.0,1.6,3.3,1.1,1.8,6.2,15.7,55.9,22.2,71
D'Angelo Russell,MIN,25,193,Ohio State,USA,2015,1,2,32,19.5,2.5,5.2,-12.0,1.2,7.5,29.3,57.5,31.2,76
Cristiano Felicio,CHI,28,270,None,Brazil,Undrafted,Undrafted,Undrafted,13,1.1,1.1,0.6,2.5,9.5,15.7,11.0,61.4,22.9,83
Cory Joseph,DET,29,200,Texas-Austin,Canada,2011,1,29,60,8.0,2.5,3.2,-5.5,2.4,8.4,15.6,55.9,19.7,75
Collin Sexton,CLE,22,190,Alabama,USA,2018,1,8,50,24.5,3.0,4.1,-7.6,2.4,6.3,28.0,58.1,20.3,73
Cole Anthony,ORL,20,185,North Carolina,USA,2020,1,15,36,11.8,4.5,4.4,-11.8,2.8,13.9,22.1,48.0,25.6,74
Cody Zeller,CHA,28,240,Indiana,USA,2013,1,4,38,8.9,6.9,1.9,1.7,12.4,20.8,17.4,58.5,13.1,83
Cody Martin,CHA,25,205,Nevada-Reno,USA,2019,2,36,48,4.0,2.9,1.6,0.5,5.5,12.2,12.2,51.3,14.1,77
Coby White,CHI,21,195,North Carolina,USA,2019,1,7,58,14.8,4.1,4.6,-2.2,1.3,11.8,21.9,53.7,21.2,77
Clint Capela,ATL,26,240,None,Switzerland,2014,1,25,54,15.5,14.7,0.8,6.5,15.5,30.6,19.4,60.4,4.2,82
Chuma Okeke,ORL,22,229,Auburn,USA,2019,1,16,44,7.5,4.0,2.2,-7.6,3.4,11.8,14.0,50.3,13.1,78
Christian Wood,HOU,25,214,UNLV,USA,Undrafted,Undrafted,Undrafted,37,21.0,9.5,1.5,-2.8,5.5,22.6,25.6,59.7,7.9,82
Chris Silva,SAC,24,234,South Carolina,Gabon,Undrafted,Undrafted,Undrafted,15,2.1,1.8,0.4,-0.5,8.2,21.7,15.1,70.8,10.2,80
Chris Paul,PHX,35,175,Wake Forest,USA,2005,1,4,60,16.1,4.7,8.7,6.4,1.3,13.3,21.6,58.8,39.0,72
Chris Chiozza,BKN,25,175,Florida,USA,Undrafted,Undrafted,Undrafted,22,4.0,1.1,3.0,3.0,1.2,8.8,20.0,46.1,38.2,71
Chris Boucher,TOR,28,200,Oregon,Saint Lucia,Undrafted,Undrafted,Undrafted,59,13.6,6.7,1.1,4.3,8.0,19.1,20.2,63.9,7.0,81
Chimezie Metu,SAC,24,225,Southern California,USA,2018,2,49,28,5.1,2.5,0.6,-9.0,9.1,17.2,20.0,59.6,9.0,81
Chasson Randle,ORL,28,185,Stanford,USA,2015,,,30,5.7,1.7,1.9,-16.8,0.5,8.3,14.6,51.9,15.4,74
Charlie Brown Jr.,OKC,24,199,St. Joseph's (PA),USA,Undrafted,Undrafted,Undrafted,1,5.0,0.0,0.0,14.8,0.0,0.0,15.6,51.2,0.0,78
Chandler Hutchison,WAS,25,210,Boise State,USA,2018,1,22,14,3.8,3.4,0.6,-3.3,2.1,21.0,16.2,43.6,6.1,78
Cedi Osman,CLE,26,230,None,Turkey,2015,2,31,51,9.6,3.3,2.7,-10.4,2.4,11.4,19.3,47.5,16.0,79
Cassius Winston,WAS,23,185,Michigan State,USA,2020,2,53,18,2.2,0.5,0.6,-18.4,0.0,9.1,16.7,58.0,21.6,73
Cassius Stanley,IND,21,190,Duke,USA,2020,2,54,17,1.1,0.6,0.0,-1.0,7.6,12.8,20.6,37.7,0.0,77
Carsen Edwards,BOS,23,200,Purdue,USA,2019,2,33,25,3.9,0.9,0.4,-7.3,1.4,8.8,18.5,54.5,7.8,71
Carmelo Anthony,POR,36,238,Syracuse,USA,2003,1,3,59,13.5,3.2,1.5,-4.1,1.8,10.8,23.3,53.3,10.2,79
Caris LeVert,IND,26,205,Michigan,USA,2016,1,20,36,18.7,4.5,4.8,-1.1,2.5,11.0,26.9,51.7,24.3,78
Cameron Reynolds,SAS,26,225,Tulane,USA,Undrafted,Undrafted,Undrafted,3,0.7,0.0,0.0,-32.4,0.0,0.0,13.3,50.0,0.0,79
Cameron Payne,PHX,26,183,Murray State,USA,2015,1,14,50,7.3,2.3,3.6,7.2,1.5,11.8,18.6,57.8,28.9,73
Cameron Johnson,PHX,25,210,North Carolina,USA,2019,1,11,55,9.9,3.2,1.5,5.8,2.2,11.6,16.4,58.6,8.7,80
Cam Reddish,ATL,21,218,Duke,USA,2019,1,10,26,11.2,4.0,1.3,-4.0,2.8,10.9,18.3,48.8,6.6,80
Caleb Martin,CHA,25,205,Nevada-Reno,USA,Undrafted,Undrafted,Undrafted,45,4.9,2.8,1.2,-5.9,4.1,13.2,16.9,46.1,12.3,77
CJ McCollum,POR,29,190,Lehigh,USA,2013,1,10,35,23.3,4.2,4.8,3.1,1.9,10.4,27.1,56.6,22.9,75
CJ Elleby,POR,20,200,Washington State,USA,2020,2,46,21,2.4,1.0,0.2,0.8,4.5,7.7,14.9,47.4,3.8,78
Buddy Hield,SAC,28,220,Oklahoma,Bahamas,2016,1,6,60,16.7,4.5,3.2,-3.4,1.1,12.2,20.0,57.0,12.3,76
Bryn Forbes,MIL,27,205,Michigan State,USA,Undrafted,Undrafted,Undrafted,59,9.5,1.4,0.6,2.4,0.9,6.2,18.0,60.8,4.4,74
Bruno Fernando,ATL,22,240,Maryland,Angola,2019,2,34,28,1.3,2.3,0.3,-7.6,6.4,26.3,12.0,50.1,7.9,81
Bruno Caboclo,HOU,25,218,None,Brazil,2014,1,20,6,2.8,2.3,0.2,2.3,6.4,26.8,23.2,47.5,4.8,81
Bruce Brown,BKN,24,202,Miami,USA,2018,2,42,57,8.8,5.2,1.6,2.2,7.9,14.9,15.7,59.7,9.9,76
Brook Lopez,MIL,33,282,Stanford,USA,2008,1,10,59,11.6,4.9,0.7,6.3,5.0,11.9,15.9,60.1,3.3,84
Brodric Thomas,CLE,24,185,Truman State,USA,Undrafted,Undrafted,Undrafted,21,2.9,1.0,0.7,5.7,2.1,8.3,18.1,46.1,11.8,77
Brian Bowen II,IND,22,190,None,USA,Undrafted,Undrafted,Undrafted,6,0.5,0.5,0.0,9.4,0.0,15.8,9.8,33.8,0.0,78
Brandon Ingram,NOP,23,190,Duke,USA,2016,1,2,56,24.2,5.0,4.9,1.2,1.6,12.7,28.1,59.0,22.0,80
Brandon Goodwin,ATL,25,180,Florida Gulf Coast,USA,Undrafted,Undrafted,Undrafted,43,5.0,1.5,2.0,-0.8,1.3,9.5,18.9,47.7,24.3,72
Brandon Clarke,MEM,24,215,Gonzaga,Canada,2019,1,21,50,10.7,5.4,1.7,1.1,5.5,15.7,16.8,55.9,9.7,80
Bradley Beal,WAS,27,207,Florida,USA,2012,1,3,52,31.4,4.8,4.6,-1.7,3.3,9.8,33.5,59.6,21.3,75
Brad Wanamaker,CHA,31,210,Pittsburgh,USA,Undrafted,Undrafted,Undrafted,53,5.4,1.7,2.8,-5.6,1.3,8.3,17.2,48.0,25.6,75
Bol Bol,DEN,21,220,Oregon,Sudan,2019,2,44,27,2.4,0.7,0.3,-23.4,0.0,14.3,20.4,62.1,8.5,86
Bojan Bogdanovic,UTA,32,226,None,Croatia,2011,2,31,61,15.6,3.8,1.9,8.3,1.7,9.8,21.1,57.1,8.9,79
Bogdan Bogdanovic,ATL,28,220,None,Serbia,2014,1,27,37,15.2,3.7,3.2,2.5,1.6,10.9,21.0,59.2,17.0,78
Bobby Portis,MIL,26,250,Arkansas,USA,2015,1,22,56,11.5,7.0,1.1,7.1,8.0,22.5,19.8,60.6,7.3,82
Boban Marjanovic,DAL,32,290,None,Serbia,Undrafted,Undrafted,Undrafted,25,5.1,4.2,0.3,8.7,16.5,28.4,24.0,54.1,5.0,88
Blake Griffin,BKN,32,250,Oklahoma,USA,2009,1,1,35,11.0,4.9,3.3,0.2,2.0,16.7,18.9,52.9,18.2,81
Bismack Biyombo,CHA,28,255,None,DRC,2011,1,7,54,5.2,5.3,1.3,-6.8,9.5,14.8,11.4,56.7,8.9,80
Ben Simmons,PHI,24,240,Louisiana State,Australia,2016,1,1,49,14.8,7.6,7.0,7.2,5.1,17.4,20.6,57.9,30.8,83
Ben McLemore,LAL,28,195,Kansas,USA,2013,1,7,42,7.9,2.0,0.8,-4.3,1.8,9.0,19.5,52.9,7.0,75
Bam Adebayo,MIA,23,255,Kentucky,USA,2017,1,14,55,19.1,9.1,5.3,0.5,7.1,20.3,23.8,62.6,26.7,81
Axel Toupane,MIL,28,210,None,France,Undrafted,Undrafted,Undrafted,8,1.8,0.8,0.5,-2.2,0.0,8.2,9.2,49.7,9.8,79
Avery Bradley,HOU,30,180,Texas-Austin,USA,2010,1,19,24,6.7,2.2,1.8,-9.1,1.3,8.3,14.8,50.1,11.3,75
Austin Rivers,DEN,28,200,Duke,USA,2012,1,10,25,7.2,2.3,2.0,-5.0,1.1,9.4,15.5,53.9,14.1,76
Ashton Hagans,MIN,21,190,Kentucky,USA,Undrafted,Undrafted,Undrafted,2,0.0,0.0,0.0,-21.8,0.0,0.0,8.3,0.0,0.0,75
Aron Baynes,TOR,34,260,Washington State,Australia,Undrafted,Undrafted,Undrafted,50,5.8,5.1,0.9,-5.1,8.4,19.3,15.7,48.9,6.9,82
Armoni Brooks,HOU,22,195,Houston,USA,2019,,,9,8.3,4.0,1.4,-17.4,2.1,14.6,16.6,52.7,10.2,75
Anzejs Pasecniks,WAS,25,229,None,Latvia,2017,1,25,1,0.0,1.0,1.0,-104.4,14.3,0.0,37.5,0.0,33.3,85
Anthony Tolliver,PHI,35,240,Creighton,USA,Undrafted,Undrafted,Undrafted,4,1.5,2.0,0.5,5.5,4.4,7.7,8.9,29.1,4.8,80
Anthony Lamb,HOU,23,227,Vermont,USA,Undrafted,Undrafted,Undrafted,14,3.6,2.3,0.4,-9.0,7.2,10.8,15.6,43.9,5.6,78
Anthony Gill,WAS,28,230,Virginia,USA,Undrafted,Undrafted,Undrafted,21,2.2,2.0,0.3,-13.4,9.2,17.4,13.4,59.3,6.9,79
Anthony Edwards,MIN,19,225,Georgia,USA,2020,1,1,62,18.3,4.5,2.7,-6.9,2.3,11.9,26.5,50.4,13.4,76
Anthony Davis,LAL,28,253,Kentucky,USA,2012,1,1,26,21.4,8.0,3.0,6.9,6.2,19.2,27.9,56.9,14.6,82
Anfernee Simons,POR,21,181,None,USA,2018,1,24,52,7.8,2.2,1.4,-4.7,1.1,11.7,19.2,58.5,13.2,75
Andrew Wiggins,GSW,26,197,Kansas,Canada,2014,1,1,61,18.0,4.8,2.3,-1.2,3.1,11.0,22.5,56.3,10.9,79
Andre Roberson,BKN,29,210,Colorado,USA,2013,1,26,5,1.2,3.0,0.8,-18.4,10.3,13.6,11.7,20.2,9.8,79
Andre Iguodala,MIA,37,215,Arizona,USA,2004,1,9,54,4.6,3.6,2.2,-3.2,3.0,13.5,11.1,51.9,15.1,78
Andre Drummond,LAL,27,279,Connecticut,USA,2012,1,9,35,15.7,12.6,2.3,-5.3,12.9,35.1,28.2,50.8,13.7,82
Amir Coffey,LAC,23,210,Minnesota,USA,Undrafted,Undrafted,Undrafted,43,3.3,1.0,0.5,-1.6,2.3,8.1,14.6,58.5,9.0,79
Amida Brimah,IND,27,230,Connecticut,USA,Undrafted,Undrafted,Undrafted,1,0.0,0.0,0.0,-10.3,0.0,0.0,6.7,0.0,0.0,82
Alize Johnson,BKN,25,212,Missouri State,USA,2018,2,50,12,5.3,4.6,0.8,-4.3,12.3,27.0,18.1,63.6,10.7,79
Alfonzo McKinnie,LAL,28,215,Wisconsin-Green Bay,USA,Undrafted,Undrafted,Undrafted,34,3.0,1.4,0.2,0.4,6.9,11.8,15.8,61.2,4.4,79
Alex Len,WAS,27,250,Maryland,Ukraine,2013,1,5,53,6.7,3.9,0.8,-5.0,7.0,17.0,16.3,66.1,7.5,84
Alex Caruso,LAL,27,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,51,5.9,2.9,2.5,6.6,2.4,11.4,13.5,55.4,17.4,76
Alen Smailagic,GSW,20,215,None,Serbia,2019,2,39,9,1.7,0.8,0.2,-27.0,5.6,11.1,15.2,50.8,13.3,82
Aleksej Pokusevski,OKC,19,190,None,Serbia,2020,1,17,38,7.5,4.6,2.1,-18.6,2.5,15.5,19.2,41.7,13.3,84
Alec Burks,NYK,29,214,Colorado,USA,2011,1,12,44,12.6,4.5,2.2,5.9,1.6,15.1,20.4,56.1,13.3,78
Al-Farouq Aminu,CHI,30,220,Wake Forest,USA,2010,1,8,20,4.8,5.0,1.5,-7.6,5.1,20.2,14.3,47.3,10.9,80
Al Horford,OKC,34,240,Florida,Dominican Rep...,2007,1,3,28,14.2,6.7,3.4,-6.9,3.4,19.5,22.1,53.8,20.6,81
Adam Mokoka,CHI,22,190,None,France,Undrafted,Undrafted,Undrafted,11,1.4,0.5,0.5,-11.5,1.9,8.5,15.9,43.0,19.2,76
Abdel Nader,PHX,27,225,Iowa State,Egypt,2016,2,58,24,6.7,2.6,0.8,5.0,2.0,15.1,18.3,60.5,7.8,77
Aaron Nesmith,BOS,21,215,Vanderbilt,USA,2020,1,14,35,3.4,2.2,0.4,1.7,3.5,13.5,12.6,51.8,4.0,77
Aaron Holiday,IND,24,185,UCLA,USA,2018,1,23,58,7.0,1.2,1.6,-0.8,1.0,5.9,19.2,49.9,12.5,72
Aaron Gordon,DEN,25,235,Arizona,USA,2014,1,4,41,13.2,5.9,3.5,2.4,5.3,15.8,21.3,55.7,17.9,80
